term_level,term,subsetcount,totalcount,foldenrichment,pval,fdr
NPC_class,Taxane diterpenoids,3,3,37.369565217391305,0.0910232580512212,0.782844419745348
NPC_superclass,Diterpenoids,3,3,37.369565217391305,0.0910232580512212,0.44373838299970336
ClassyFire_subclass,Benzenesulfonic acids and derivatives,4,4,37.369565217391305,0.050363304276511534,0.7645085070367916
ClassyFire_most_specific,Benzenesulfonic acids and derivatives,4,4,37.369565217391305,0.050363304276511534,0.6709155984870333
ClassyFire_subclass,Triterpenoids,4,5,29.895652173913042,0.0771408011374642,0.7645085070367916
NPC_superclass,Triterpenoids,6,9,24.913043478260867,0.05265809454703901,0.4349643196400506
ClassyFire_most_specific,Benzene and substituted derivatives,9,14,24.023291925465838,0.021869440024848526,0.6709155984870333
ClassyFire_subclass,Ethers,10,18,20.76086956521739,0.03106381742549172,0.7645085070367916
NPC_class,Purine alkaloids,6,11,20.383399209486168,0.09247824832067705,0.782844419745348
NPC_superclass,β-lactams,7,13,20.12207357859532,0.07425631766686286,0.4349643196400506
NPC_superclass,Tyrosine alkaloids,8,16,18.684782608695652,0.07532121303319995,0.4349643196400506
NPC_superclass,Tryptophan alkaloids,14,29,18.040479760119943,0.02693601862963428,0.4349643196400506
NPC_superclass,Amino acid glycosides,32,68,17.585677749360613,0.0014381881378472744,0.0560893373760437
NPC_class,Glucosinolates,26,56,17.350155279503102,0.004582747041149362,0.3895334984976958
NPC_superclass,Pseudoalkaloids (transamidation),11,25,16.442608695652176,0.07206635666847393,0.4349643196400506
ClassyFire_most_specific,Alkylglucosinolates,20,47,15.901942645698428,0.02426918704113611,0.6709155984870333
NPC_class,Carboline alkaloids,14,33,15.853754940711463,0.05560380188218122,0.782844419745348
ClassyFire_level5,Glycosyl compounds,11,26,15.810200668896321,0.08550163052802033,0.7228371838020818
NPC_superclass,Oligopeptides,23,66,13.022727272727272,0.07807051890975268,0.4349643196400506
ClassyFire_most_specific,Amino acids and derivatives,21,61,12.864932287954382,0.0969258645426656,0.6709155984870333
ClassyFire_class,Benzene and substituted derivatives,34,100,12.705652173913043,0.047434005110289564,0.9041657853183601
ClassyFire_superclass,Benzenoids,46,141,12.191489361702128,0.03877024943352849,0.33726941068957855
ClassyFire_superclass,Organic oxygen compounds,51,163,11.692317951453722,0.05188760164455054,0.33726941068957855
ClassyFire_class,Organooxygen compounds,51,163,11.692317951453722,0.05188760164455054,0.9041657853183601
