id,log2FC,padj,pval,Expression
19,0,1,1,Not significant
22,0.08749621263557814,1,0.9663759894485462,Not significant
23,0,1,1,Not significant
28,0.12209954013208218,0.5510754468323547,0.3612926286096938,Not significant
30,0.08019757243365216,0.7809908381479419,0.5969877610973797,Not significant
31,0.6751535961264588,0.4601888038243686,0.26797498116823326,Not significant
32,10.594207951809086,0.5420168115306884,0.3506166628202075,Not significant
33,0.19160138619399894,0.3678609619165816,0.19459184630683957,Not significant
53,0.1056918967045721,0.4153413069505541,0.23050355254847507,Not significant
57,-0.18395202321042414,0.5634037377829472,0.3729804849313519,Not significant
58,-0.10710565302748123,0.9258802430603285,0.7804540268728424,Not significant
59,0.0012328701181867929,1,0.979029233121846,Not significant
73,-0.00992854126634528,0.9590351803988789,0.8273700829153795,Not significant
74,-0.02563781255528394,0.9144500776573733,0.7681598875175082,Not significant
87,0.004717049783463555,1,0.9294164000583205,Not significant
153,0,1,1,Not significant
165,0.04770447386817486,0.6183235428206393,0.4258842784756468,Not significant
182,0.014922619589642588,0.9434890905612839,0.8061431602423159,Not significant
194,0.041146605540330734,0.6733453335917279,0.4774616988070808,Not significant
195,-0.049345510147033776,0.6840805386510187,0.4890837591635264,Not significant
213,0.03159135075507548,0.817987242723061,0.6376398518027352,Not significant
214,-0.030764064082689682,0.7936648149239951,0.6093422082206145,Not significant
216,0.03781095878014039,0.672399337893574,0.47564723378626295,Not significant
217,-0.025614226276478365,0.697592606049294,0.5028023495608349,Not significant
219,-0.07047670269171787,0.6899801095547626,0.4953085835896318,Not significant
224,0.02325884949382516,0.9037049921518336,0.7480789610329965,Not significant
231,-0.009422106482046767,1,0.883872124268781,Not significant
232,-0.004295809246790521,1,0.943460469579839,Not significant
235,0.0050882882090694725,1,0.9393545942847914,Not significant
236,0.009849008306306133,1,0.8937473009760237,Not significant
238,0.035231657304175955,0.8532159103657935,0.6830732419388047,Not significant
248,0.07323000575951058,0.5089168881544623,0.3111527920013612,Not significant
262,0.0638888683566036,0.6304998752628338,0.43720526545276206,Not significant
263,0.018895306984712937,0.9447319238763864,0.8084355206644354,Not significant
315,-0.2595025683232407,0.2469130902260395,0.10729707276175034,Not significant
322,-0.329206499187769,0.2061293156472947,0.08403552188928361,Not significant
353,-0.32896778326276765,0.18144543953315306,0.06924270409176754,Not significant
360,-0.3113484458392132,0.18209930996335866,0.06970409886904595,Not significant
373,-0.38805149352098706,0.16229492155932587,0.06014070100831331,Not significant
374,-0.32526553505469513,0.21384782790282508,0.08832574625422095,Not significant
375,-0.33789210566905264,0.20320624433798393,0.08192084195824484,Not significant
382,-0.7327123627811625,0.16830895369520013,0.0631525742486353,Not significant
408,0.7540081771109731,0.42820427477485257,0.24262417895910784,Not significant
413,0.038621294027307476,0.9856997790075942,0.8618422151532368,Not significant
414,0.4559044572044764,0.19510768876959048,0.07706696956053051,Not significant
415,0.9124576868115802,0.17947651087690855,0.06807369697018288,Not significant
