ID1,ID2,EdgeType,Score,Annotation
1587,3974,DreaMS,0.009,score=0.009
3876,5006,DreaMS,0.181,score=0.181
1767,15633,DreaMS,0.061,score=0.061
89,15415,DreaMS,0.336,score=0.336
1817,2373,DreaMS,0.365,score=0.365
2184,5862,DreaMS,0.140,score=0.140
5349,5750,DreaMS,0.166,score=0.166
2073,5924,DreaMS,0.144,score=0.144
395,10915,DreaMS,0.298,score=0.298
4668,5799,DreaMS,0.107,score=0.107
1002,14645,DreaMS,0.349,score=0.349
4873,5468,DreaMS,0.177,score=0.177
1706,2421,DreaMS,0.111,score=0.111
2100,3892,DreaMS,0.272,score=0.272
5547,13712,DreaMS,0.182,score=0.182
4099,5815,DreaMS,0.256,score=0.256
400,4745,DreaMS,0.228,score=0.228
1098,4916,DreaMS,0.275,score=0.275
1627,7270,DreaMS,0.160,score=0.160
2066,4510,DreaMS,0.076,score=0.076
3261,12742,DreaMS,0.109,score=0.109
2947,4901,DreaMS,0.278,score=0.278
1140,4874,DreaMS,0.066,score=0.066
5571,15718,DreaMS,0.240,score=0.240
424,4721,DreaMS,0.188,score=0.188
1130,17330,DreaMS,0.159,score=0.159
3268,7274,DreaMS,0.075,score=0.075
4099,11648,DreaMS,0.167,score=0.167
2066,4916,DreaMS,0.131,score=0.131
3354,4047,DreaMS,0.444,score=0.444
14658,15718,DreaMS,0.911,score=0.911
1035,2897,DreaMS,0.354,score=0.354
4128,5865,DreaMS,0.203,score=0.203
5771,12141,DreaMS,0.152,score=0.152
3332,4432,DreaMS,0.104,score=0.104
4048,4745,DreaMS,0.289,score=0.289
11619,15838,DreaMS,0.375,score=0.375
4046,4747,DreaMS,0.021,score=0.021
1130,4884,DreaMS,0.125,score=0.125
5351,16431,DreaMS,0.477,score=0.477
3005,5803,DreaMS,0.156,score=0.156
1140,4982,DreaMS,0.081,score=0.081
2786,3608,DreaMS,0.405,score=0.405
1375,3175,DreaMS,0.139,score=0.139
1545,10933,DreaMS,0.009,score=0.009
1080,13838,DreaMS,0.267,score=0.267
2989,5819,DreaMS,0.314,score=0.314
2737,5799,DreaMS,0.067,score=0.067
340,4805,DreaMS,0.488,score=0.488
4712,4714,DreaMS,0.258,score=0.258
4711,12764,DreaMS,0.139,score=0.139
3338,4805,DreaMS,0.491,score=0.491
5774,5799,DreaMS,0.852,score=0.852
3342,4801,DreaMS,0.279,score=0.279
3629,15786,DreaMS,0.046,score=0.046
1794,5017,DreaMS,0.355,score=0.355
5082,5742,DreaMS,0.262,score=0.262
1130,13954,DreaMS,0.179,score=0.179
1344,14007,DreaMS,0.336,score=0.336
1627,13025,DreaMS,0.253,score=0.253
1542,2521,DreaMS,0.187,score=0.187
4442,5937,DreaMS,0.150,score=0.150
1952,4801,DreaMS,0.285,score=0.285
5754,5819,DreaMS,0.214,score=0.214
1748,2217,DreaMS,0.067,score=0.067
5750,5823,DreaMS,0.177,score=0.177
2021,17170,DreaMS,0.035,score=0.035
4128,7274,DreaMS,0.066,score=0.066
1331,15719,DreaMS,0.014,score=0.014
4653,9954,DreaMS,0.119,score=0.119
400,4668,DreaMS,0.303,score=0.303
5414,15875,DreaMS,0.150,score=0.150
2786,5750,DreaMS,0.550,score=0.550
2797,5537,DreaMS,0.374,score=0.374
1622,12850,DreaMS,0.046,score=0.046
1080,4712,DreaMS,0.271,score=0.271
4128,4665,DreaMS,0.152,score=0.152
5420,15869,DreaMS,0.277,score=0.277
2373,2797,DreaMS,0.453,score=0.453
3663,5983,DreaMS,0.287,score=0.287
4510,4916,DreaMS,0.283,score=0.283
3608,16425,DreaMS,0.292,score=0.292
3342,3770,DreaMS,0.083,score=0.083
1916,5414,DreaMS,0.157,score=0.157
2779,5555,DreaMS,0.145,score=0.145
424,16425,DreaMS,0.195,score=0.195
1195,2737,DreaMS,0.481,score=0.481
2100,4653,DreaMS,0.125,score=0.125
140,13712,DreaMS,0.228,score=0.228
2102,4651,DreaMS,0.232,score=0.232
2786,4668,DreaMS,0.187,score=0.187
4523,5856,DreaMS,0.191,score=0.191
2373,5754,DreaMS,0.243,score=0.243
717,2133,DreaMS,0.193,score=0.193
2391,2779,DreaMS,0.180,score=0.180
4804,5663,DreaMS,0.182,score=0.182
2699,7489,DreaMS,0.361,score=0.361
4099,12742,DreaMS,0.196,score=0.196
4139,15835,DreaMS,0.406,score=0.406
2779,4745,DreaMS,0.164,score=0.164
2373,11935,DreaMS,0.069,score=0.069
2795,3175,DreaMS,0.341,score=0.341
5010,13026,DreaMS,0.150,score=0.150
1218,3332,DreaMS,0.130,score=0.130
4432,12748,DreaMS,0.338,score=0.338
3907,8717,DreaMS,0.105,score=0.105
1098,4510,DreaMS,0.309,score=0.309
2449,4107,DreaMS,0.304,score=0.304
4158,5663,DreaMS,0.222,score=0.222
1126,4666,DreaMS,0.290,score=0.290
352,1002,DreaMS,0.322,score=0.322
1077,14007,DreaMS,0.328,score=0.328
5503,5513,DreaMS,0.542,score=0.542
1542,4665,DreaMS,0.375,score=0.375
1895,4916,DreaMS,0.248,score=0.248
496,14778,DreaMS,0.111,score=0.111
6058,15838,DreaMS,0.381,score=0.381
5924,12141,DreaMS,0.171,score=0.171
1375,17170,DreaMS,0.388,score=0.388
1002,13872,DreaMS,0.404,score=0.404
1489,4415,DreaMS,0.252,score=0.252
3733,8131,DreaMS,0.077,score=0.077
5610,15869,DreaMS,0.243,score=0.243
3856,12742,DreaMS,0.096,score=0.096
2170,4812,DreaMS,0.087,score=0.087
4712,12748,DreaMS,0.128,score=0.128
3961,6032,DreaMS,0.202,score=0.202
11229,11935,DreaMS,0.248,score=0.248
5503,15786,DreaMS,0.176,score=0.176
2020,4415,DreaMS,0.178,score=0.178
1126,11653,DreaMS,0.046,score=0.046
1706,4810,DreaMS,0.118,score=0.118
5942,9954,DreaMS,0.055,score=0.055
1729,5420,DreaMS,0.230,score=0.230
1489,4590,DreaMS,0.085,score=0.085
4590,17330,DreaMS,0.266,score=0.266
1035,13839,DreaMS,0.307,score=0.307
2516,12852,DreaMS,0.083,score=0.083
352,3120,DreaMS,0.312,score=0.312
1794,2396,DreaMS,0.183,score=0.183
2989,14007,DreaMS,0.166,score=0.166
4099,15875,DreaMS,0.246,score=0.246
2850,3120,DreaMS,0.282,score=0.282
1891,4645,DreaMS,0.229,score=0.229
5663,13826,DreaMS,0.300,score=0.300
9950,16431,DreaMS,0.156,score=0.156
5067,6032,DreaMS,0.300,score=0.300
3268,4221,DreaMS,0.248,score=0.248
1952,3974,DreaMS,0.082,score=0.082
5861,11985,DreaMS,0.151,score=0.151
1793,5537,DreaMS,0.003,score=0.003
1561,2989,DreaMS,0.258,score=0.258
5668,12742,DreaMS,0.173,score=0.173
2373,2947,DreaMS,0.502,score=0.502
1489,12764,DreaMS,0.080,score=0.080
3053,4711,DreaMS,0.214,score=0.214
2362,3608,DreaMS,0.381,score=0.381
5348,5668,DreaMS,0.402,score=0.402
5349,5667,DreaMS,0.033,score=0.033
3663,5010,DreaMS,0.381,score=0.381
997,5082,DreaMS,0.422,score=0.422
1706,2786,DreaMS,0.080,score=0.080
1550,4678,DreaMS,0.140,score=0.140
3131,5012,DreaMS,0.324,score=0.324
2959,5375,DreaMS,0.314,score=0.314
5754,10142,DreaMS,0.048,score=0.048
5742,15633,DreaMS,0.107,score=0.107
1561,4874,DreaMS,0.244,score=0.244
1817,5513,DreaMS,0.425,score=0.425
1695,2797,DreaMS,0.351,score=0.351
1747,5006,DreaMS,0.263,score=0.263
4587,5754,DreaMS,0.108,score=0.108
4099,5547,DreaMS,0.305,score=0.305
288,3743,DreaMS,0.191,score=0.191
4107,5754,DreaMS,0.354,score=0.354
1550,11229,DreaMS,0.077,score=0.077
12141,12852,DreaMS,0.684,score=0.684
2958,5006,DreaMS,0.311,score=0.311
997,11648,DreaMS,0.126,score=0.126
3261,5547,DreaMS,0.239,score=0.239
2100,2421,DreaMS,0.287,score=0.287
2959,4805,DreaMS,0.414,score=0.414
1218,11653,DreaMS,0.064,score=0.064
2202,5038,DreaMS,0.331,score=0.331
2968,5366,DreaMS,0.070,score=0.070
496,3663,DreaMS,0.322,score=0.322
4678,5663,DreaMS,0.079,score=0.079
2989,5547,DreaMS,0.307,score=0.307
1916,5865,DreaMS,0.115,score=0.115
3261,12141,DreaMS,0.021,score=0.021
3295,12141,DreaMS,0.129,score=0.129
3196,3767,DreaMS,0.065,score=0.065
2982,4982,DreaMS,0.491,score=0.491
1793,3768,DreaMS,0.053,score=0.053
1794,3767,DreaMS,0.118,score=0.118
5407,5609,DreaMS,0.272,score=0.272
2393,4645,DreaMS,0.174,score=0.174
135,2850,DreaMS,0.323,score=0.323
5366,11653,DreaMS,0.070,score=0.070
3295,5513,DreaMS,0.563,score=0.563
2362,2958,DreaMS,0.294,score=0.294
5497,20005,DreaMS,0.393,score=0.393
1631,4804,DreaMS,0.001,score=0.001
1627,4808,DreaMS,0.161,score=0.161
1042,3733,DreaMS,0.512,score=0.512
140,2520,DreaMS,0.216,score=0.216
2020,4536,DreaMS,0.211,score=0.211
1140,5067,DreaMS,0.239,score=0.239
13872,15951,DreaMS,0.453,score=0.453
2737,7867,DreaMS,0.210,score=0.210
1123,5552,DreaMS,0.290,score=0.290
1883,4653,DreaMS,0.185,score=0.185
1032,3743,DreaMS,0.280,score=0.280
4046,5815,DreaMS,0.117,score=0.117
2373,4665,DreaMS,0.291,score=0.291
1130,5545,DreaMS,0.270,score=0.270
2947,5017,DreaMS,0.094,score=0.094
3472,5729,DreaMS,0.305,score=0.305
2958,15937,DreaMS,0.092,score=0.092
3770,5670,DreaMS,0.219,score=0.219
2897,5067,DreaMS,0.386,score=0.386
1732,17170,DreaMS,0.314,score=0.314
5082,11720,DreaMS,0.101,score=0.101
1545,2947,DreaMS,0.117,score=0.117
1542,2950,DreaMS,0.286,score=0.286
4523,9985,DreaMS,0.196,score=0.196
3856,8716,DreaMS,0.228,score=0.228
3196,3634,DreaMS,0.112,score=0.112
5420,13839,DreaMS,0.295,score=0.295
1729,5082,DreaMS,0.273,score=0.273
2498,3472,DreaMS,0.338,score=0.338
1098,14823,DreaMS,0.274,score=0.274
400,3974,DreaMS,0.286,score=0.286
1952,5030,DreaMS,0.134,score=0.134
5420,6187,DreaMS,0.146,score=0.146
5555,15869,DreaMS,0.093,score=0.093
4711,5781,DreaMS,0.023,score=0.023
12748,12764,DreaMS,0.515,score=0.515
4047,4128,DreaMS,0.281,score=0.281
1195,5012,DreaMS,0.323,score=0.323
15838,20005,DreaMS,0.370,score=0.370
140,3587,DreaMS,0.309,score=0.309
2959,4442,DreaMS,0.115,score=0.115
2999,5537,DreaMS,0.449,score=0.449
3131,11619,DreaMS,0.195,score=0.195
997,5017,DreaMS,0.319,score=0.319
4099,9950,DreaMS,0.121,score=0.121
5572,9607,DreaMS,0.124,score=0.124
4666,9950,DreaMS,0.079,score=0.079
3636,4523,DreaMS,0.272,score=0.272
5010,15875,DreaMS,0.108,score=0.108
13839,14658,DreaMS,0.579,score=0.579
2396,4916,DreaMS,0.294,score=0.294
1002,5012,DreaMS,0.405,score=0.405
3892,10129,DreaMS,0.052,score=0.052
4721,5771,DreaMS,0.042,score=0.042
3767,7391,DreaMS,0.053,score=0.053
4432,17332,DreaMS,0.286,score=0.286
2797,5861,DreaMS,0.092,score=0.092
2200,3120,DreaMS,0.434,score=0.434
2793,5865,DreaMS,0.165,score=0.165
2189,3131,DreaMS,0.254,score=0.254
3053,11935,DreaMS,0.157,score=0.157
4184,4698,DreaMS,0.245,score=0.245
2473,5375,DreaMS,0.206,score=0.206
2796,5862,DreaMS,0.056,score=0.056
5351,16425,DreaMS,0.215,score=0.215
4221,5772,DreaMS,0.194,score=0.194
2102,14778,DreaMS,0.271,score=0.271
2170,11935,DreaMS,0.091,score=0.091
1720,5610,DreaMS,0.051,score=0.051
1195,4884,DreaMS,0.237,score=0.237
3261,20005,DreaMS,0.244,score=0.244
5082,12742,DreaMS,0.157,score=0.157
4804,5537,DreaMS,0.286,score=0.286
395,3636,DreaMS,0.317,score=0.317
4808,15633,DreaMS,0.056,score=0.056
14778,15937,DreaMS,0.178,score=0.178
89,3268,DreaMS,0.315,score=0.315
1767,13838,DreaMS,0.119,score=0.119
1032,4982,DreaMS,0.337,score=0.337
2336,11229,DreaMS,0.105,score=0.105
1545,3005,DreaMS,0.333,score=0.333
352,17332,DreaMS,0.115,score=0.115
1767,4668,DreaMS,0.373,score=0.373
2553,4901,DreaMS,0.189,score=0.189
1817,4536,DreaMS,0.231,score=0.231
3892,5754,DreaMS,0.387,score=0.387
4623,12852,DreaMS,0.029,score=0.029
1627,2865,DreaMS,0.312,score=0.312
2585,3385,DreaMS,0.361,score=0.361
3053,7489,DreaMS,0.267,score=0.267
3131,5203,DreaMS,0.222,score=0.222
5781,5983,DreaMS,0.626,score=0.626
