formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C3H4Cl2N2O11	[M - H]-	C3H3Cl2N2O11-	Carbohydrates	0.316	Fatty Acids and Conjugates	0.075	Halogenated fatty acids	0.218	Organic 1,3-dipolar compounds	0.944	Allyl-type 1,3-dipolar organic compounds	0.897	Organic nitro compounds	0.910	C-nitro compounds	0.798	C-nitro compounds	0.798	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Organic oxoazanium compounds; Organochlorides; Carbonyl compounds; Polyols; Alkyl halides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	312.912	26	0.431	757860202096503032	757859794225588686	1627	
1	C3H2ClN2O11	[M + CHO2 + H]-	C4H4ClN2O13-	Polyketides	0.163	Phenolic acids (C6-C1)	0.120	Halogenated fatty acids	0.123	Organic 1,3-dipolar compounds	0.883	Allyl-type 1,3-dipolar organic compounds	0.819	Organic nitro compounds	0.861	C-nitro compounds	0.772	C-nitro compounds	0.772	Organic compounds; Organooxygen compounds; Organic nitro compounds; Organic oxoazanium compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; C-nitro compounds; Hydrocarbon derivatives; Oxygen-containing organoarsenic compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	322.941	26	0.433	757860190633464829	757859794464664024	331	
1	CH3ClN2O7S2	[M - H]-	CH2ClN2O7S2-	Alkaloids	0.479	Ornithine alkaloids	0.010	Polyamines	0.036	Organic acids and derivatives	0.979	Organic sulfonic acids and derivatives	0.929	Organosulfonic acids and derivatives	0.925			Organosulfonic acids and derivatives	0.925	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organoarsenic compounds; Organometallic compounds; Sulfonyls; Organometalloid compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Oxygen-containing organoarsenic compounds; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	252.901	26	0.433	757860196794900202	757859794569521629	340	
1	C5H6Cl2F4N4O10S	[M - H]-	C5H5Cl2F4N4O10S-	Alkaloids	0.321	Histidine alkaloids	0.157	Imidazole alkaloids	0.153	Organohalogen compounds	1.000	Aryl halides	0.297	Aryl chlorides	0.638			Aryl chlorides	0.638	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Aryl chlorides; Organic nitro compounds; Sulfonyls; Organic oxoazanium compounds; Organochlorides; Organofluorides; Amines; Alkyl halides; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	458.903	26	0.433	757860204529200701	757859794678573538	352	
1	C6H3NO7PS	[M - H]-	C6H2NO7PS-	Amino acids and Peptides	0.328	Small peptides	0.040	Aminoacids	0.052	Organic acids and derivatives	0.994	Organic phosphoric acids and derivatives	0.891	Phosphate esters	0.776			Phosphate esters	0.776	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	262.930	26	0.434	757860202167806249	757859794787625447	1474	
1	C6H2F4N2O4S	[M - H]-	C6HF4N2O4S-	Alkaloids	0.412	Histidine alkaloids	0.065	Imidazole alkaloids	0.065	Organoheterocyclic compounds	0.962	Azoles	0.579					Azoles	0.579	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl fluorides; Sulfonyls; Organofluorides; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	272.959	26	0.434	757860192839669748	757859794892483052	384	
1	C9H4Cl2F6N2O4	[M - H]-	C9H3Cl2F6N2O4-	Alkaloids	0.291	Small peptides	0.049	Pyrrole alkaloids	0.035	Benzenoids	0.975	Benzene and substituted derivatives	0.956	Nitrobenzenes	0.833			Nitrobenzenes	0.833	Organic compounds; Halobenzenes; Nitrobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Aryl chlorides; Chlorobenzenes; Organic nitro compounds; Organic oxoazanium compounds; Organochlorides; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Dichlorobenzenes; Aryl halides; Alkyl halides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	386.939	26	0.434	757860204923465518	757859794997340657	394	
1	C6H2NO5S	[M + Cl]-	C6H2ClNO5S-	Alkaloids	0.452	Tropolones	0.011	Simple oxindole alkaloids	0.021	Organic acids and derivatives	0.990	Organic sulfonic acids and derivatives	0.892	Organosulfonic acids and derivatives	0.892			Organosulfonic acids and derivatives	0.892	Organic compounds; Organoheterocyclic compounds; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	234.935	26	0.434	757860197092695929	757859795102198262	395	
1	C2HF3NO4	[M - H]-	C2F3NO4-	Alkaloids	0.674	Tyrosine alkaloids	0.066	Halogenated fatty acids	0.436	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbonyl compounds	0.970	Ketones	0.759	Ketones	0.759	Organic compounds; Ketones; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic 1,3-dipolar compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.978	26	0.434	757860175789816642	757859795202861563	400	
1	CHF3NO3	[M - H]-	CF3NO3-	Alkaloids	0.358	Small peptides	0.050	Halogenated fatty acids	0.564	Organic acids and derivatives	0.748	Carboxylic acids and derivatives	0.726					Carboxylic acids and derivatives	0.726	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	130.983	26	0.434	757860174833514892	757859795299330560	1484	
1	C6H2Cl2F6N4O2S	[M - H]-	C6HCl2F6N4O2S-	Alkaloids	0.423	Histidine alkaloids	0.043	Imidazole alkaloids	0.043	Organohalogen compounds	1.000	Aryl halides	0.858	Aryl chlorides	0.955			Aryl chlorides	0.955	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrazoles; Organohalogen compounds; Organonitrogen compounds; Azoles; Sulfones; Alkyl fluorides; Aryl chlorides; Sulfonyls; Organochlorides; Organofluorides; Amines; Primary amines; Aryl halides; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Halomethanes; Trihalomethanes; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	376.910	26	0.434	757860248137399300	757859795391605253	2737	
1	C6H8Cl3FN2O4	[M - H]-	C6H7Cl3FN2O4-	Amino acids and Peptides	0.280	Small peptides	0.114	Aminoacids	0.264	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.688	Amino acids and derivatives	0.684	Amino acids	0.637	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Organofluorides; Carbonyl compounds; Amines; Primary amines; Alkyl halides; Organic oxides; Halopyridines; Polyhalopyridines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	294.946	26	0.434	757860193745639746	757859795483879946	1767	
1	C4H6O18	[M - H]-	C4H5O18-	Carbohydrates	0.995	Saccharides	0.997	Monosaccharides	0.931	Organic acids and derivatives	0.867	Hydroxy acids and derivatives	0.607	Beta hydroxy acids and derivatives	0.587			Beta hydroxy acids and derivatives	0.587	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Sugar acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Hydroxy acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Polyols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	340.946	26	0.434	757860195540802788	757859795580348943	424	
