structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	3	-Infinity	-Infinity	-386.416	0.024	0.002	32.058	C10H7F3N2O5S3	[M - H]-	C10H6F3N2O5S3-	JIQLKWCGSXFXTN	InChI=1S/C10H7F3N2O5S3/c1-19-8(16)7-6(20-23(17,18)10(11,12)13)5-4(22-7)3-14-9(15-5)21-2/h3H,1-2H3	Methyl 2-(methylsulfanyl)-7-{[(trifluoromethyl)sulfonyl]oxy}thieno[3,2-d]pyrimidine-6-carboxylate	COC(=O)C1=C(C2=NC(=NC=C2S1)SC)OS(=O)(=O)C(F)(F)F	3.100	86697952	PUBCHEM:(86697952)	2	386.939	26	0.434	757860204923465520	757859794997340657	394	
1	1	-Infinity	-Infinity	-78.852	0.845	0.478	30.595	C4H6O18	[M - H]-	C4H5O18-	KCGSWKONHZLKPK	InChI=1S/C4H6O18/c1-3-5-7-9-11-13-15-17-19-21-22-20-18-16-14-12-10-8-6-4-2/h3-4H,1-2H2	Ethenylperoxyperoxyperoxyperoxyperoxyperoxyperoxyperoxyperoxyethene	C=COOOOOOOOOOOOOOOOOOC=C	2.400	59745742	PUBCHEM:(59745742)	2	340.946	26	0.434	757860195540802788	757859795580348943	424	
1	4	-Infinity	-Infinity	-66.990	0.022	0.326	58.613	C2H5N2O5PS	[M + CH2O2 - H]-	C3H6N2O7PS-	VUNGDJJEINDCRD	InChI=1S/C2H5N2O5PS/c1-11(8,9)2(4-3)10(5,6)7/h1H3,(H2,5,6,7)	[Diazo(methylsulfonyl)methyl]phosphonic acid	CS(=O)(=O)C(=[N+]=[N-])P(=O)(O)O	-1.800	118469380;118469378;118469379	PUBCHEM:(118469380 118469378 118469379)	2	244.964	26	0.435	757860195213646933	757859795681012244	2699	
1	4	-Infinity	-Infinity	-76.750	0.037	0.051	27.252	C6H5NO5S3	[M - H]-	C6H4NO5S3-	ZIAGNQIJEBBWMF	InChI=1S/C6H5NO5S3/c1-14(9,10)6-5(2-3-13-6)15(11,12)7-4-8/h2-3H,1H3	2-Methylsulfonyl-3-thiophenesulfonyl isocyanate	CS(=O)(=O)C1=C(C=CS1)S(=O)(=O)N=C=O	1.500	13562314	PUBCHEM:(13562314)	2	265.928	26	0.436	757860188817330283	757859795777481241	496	
1	2	-Infinity	-Infinity	-183.053	0.180	0.011	21.764	C10H5IN4O5S	[M - H]-	C10H4IN4O5S-	UPDRHCWVSWQFJQ	InChI=1S/C10H5IN4O5S/c11-7-2-1-5(14(17)18)3-6(7)9(16)13-10-12-4-8(21-10)15(19)20/h1-4H,(H,12,13,16)	2-iodo-5-nitro-N-(5-nitro-1,3-thiazol-2-yl)benzamide	C1=CC(=C(C=C1[N+](=O)[O-])C(=O)NC2=NC=C(S2)[N+](=O)[O-])I	2.800	15547616	PUBCHEM:(15547616)	2	418.894	26	0.441	757860173512308741	757859795962030627	692	
1	3	0.020	0.020	-131.535	0.013	0.019	8.258	C8H5Cl3N2O2	[M - H]-	C8H4Cl3N2O2-	NDEJIMPUADWKTB	InChI=1S/C8H5Cl3N2O2/c9-5-2-1-4(12-7(10)14)3-6(5)13-8(11)15/h1-3H,(H,12,14)(H,13,15)	N-[3-(carbonochloridoylamino)-4-chlorophenyl]carbamoyl chloride	C1=CC(=C(C=C1NC(=O)Cl)NC(=O)Cl)Cl	2.530	54105081	PUBCHEM:(54105081)	2	264.934	30	0.502	757860206693462604	757859798562499242	1218	
1	1	0.019	0.019	-166.083	1.000	1.000	48.352	C17H27N3O3	[M - H]-	C17H26N3O3-	MPVLYIJQCQPWAJ	InChI=1S/C17H27N3O3/c1-6-15(21)18(4)11-9-13-20(17(23)8-3)14-10-12-19(5)16(22)7-2/h6-8H,1-3,9-14H2,4-5H3	N-methyl-N-[3-[3-[methyl(prop-2-enoyl)amino]propyl-prop-2-enoylamino]propyl]prop-2-enamide	CN(CCCN(CCCN(C)C(=O)C=C)C(=O)C=C)C(=O)C=C	1.200	132017810	PUBCHEM:(132017810)	2	320.198	31	0.512	757860206534078973	757859798717688500	1331	
1	1	0.681	0.681	-1.520	0.999	0.998	7.928	C5H5N5	[M - H]-	C5H4N5-	GFFGJBXGBJISGV	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)	Adenin	C1=NC2=NC=NC(=C2N1)N	-0.420	101129868;101129869;101153232;101153233;101239558;101239559;136645033;136645034;136680286;136735806;53349103;5231965;5232021;53835261;53835262;22564646;137067458;136016208;136136180;136165284;136174353;136238512;136494260;136496524;156612466;66995532;16735292;16735560;11094673;11116183;11263523;10510933;10558676;10855511;10920592;10997088;190;145773;12254447;12254451;12254453;12254454;138396137	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000034);MiMeDB:(MMDBc0000008);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(68431776 76219 190);SUPERNATURAL:(SN0104103);MESH:(190);PUBCHEM:(101129868 101129869 101153232 101153233 101239558 101239559 136645033 136645034 136680286 136735806 53349103 5231965 5232021 53835261 53835262 22564646 137067458 136016208 136136180 136165284 136174353 136238512 136494260 136496524 156612466 66995532 16735292 16735560 11094673 11116183 11263523 10510933 10558676 10855511 10920592 10997088 190 145773 12254447 12254451 12254453 12254454 138396137);GNPS:(CCMSLIB00000577894);COCONUT:(CNP0128332);NORMAN:(NS00010868);METACYC:(ADENINE SMA-0000138);PLANTCYC:(ADENINE);CHEBI:(16708);KEGG:(C00147);DSSTox:(DTXSID00975961 DTXSID10411860 DTXSID10883907 DTXSID30215842 DTXSID40193440 DTXSID40738335 DTXSID40994459 DTXSID50736180 DTXSID6022557 DTXSID60745480 DTXSID70223880 DTXSID80198232 DTXSID80737443 DTXSID80892804);LOTUS:(Q15277);YMDB:(YMDB00887);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(GFFGJBXGBJISGV-UHFFFAOYSA-N)	138906376574	134.047	31	0.517	757860194886491019	757859798939986627	135	
1	1	0.712	0.712	-20.950	1.000	0.500	33.851	C10H13N5O4	[M + CH2O2 - H]-	C11H14N5O6-	OIRDTQYFTABQOQ	InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)	Myocol	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N	-1.844	42626774;154718023;101001971;21580289;21603567;58922336;162472571;136735805;6552084;6560357;136823423;6713976;53346513;53384930;155903793;163480442;23279550;5232242;23424823;118082104;129712279;129712291;134613125;163837056;163837057;134972038;22816614;22864552;69866322;7000182;7040251;7048607;102020621;102020622;162641906;101917632;101944188;101944189;135537873;6420052;59099798;5702004;59460532;146019214;146019216;146019221;140517471;89954368;100935583;100958904;70889269;10492175;638036;644174;148772457;148772458;122654941;165412833;151332114;153713228;71738110;71776184;54152452;123570113;131883911;131883912;121484514;121486812;24031035;11032861;11097670;11129405;139025871;10539954;10611929;10754484;10778501;10890867;10923602;10924111;59848323;10945502;10978491;123223819;191;21704;60961;96368;102198;160739;171798;447270;447916;448374;448378;450776;453548;466397;12358319;12358320;12358321;12358322;12358325;12358335;11807674;164669486;54732806;71056489;71313037;57483912;44400560;57636736;24773269	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000050 HMDB0014340 HMDB0247583);MiMeDB:(MMDBc0000015);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(52950385 32326 54732806 21704 644174 60961 102198 96368);SUPERNATURAL:(SN0266491);HSDB:(58-61-7 5536-17-4);MESH:(21704 60961 96368 102198 160739 447916);FooDB:(FDB003554);PUBCHEM:(42626774 154718023 101001971 21580289 21603567 58922336 162472571 136735805 6552084 6560357 136823423 6713976 53346513 53384930 155903793 163480442 23279550 5232242 23424823 118082104 129712279 129712291 134613125 163837056 163837057 134972038 22816614 22864552 69866322 7000182 7040251 7048607 102020621 102020622 162641906 101917632 101944188 101944189 135537873 6420052 59099798 5702004 59460532 146019214 146019216 146019221 140517471 89954368 100935583 100958904 70889269 10492175 638036 644174 148772457 148772458 122654941 165412833 151332114 153713228 71738110 71776184 54152452 123570113 131883911 131883912 121484514 121486812 24031035 11032861 11097670 11129405 139025871 10539954 10611929 10754484 10778501 10890867 10923602 10924111 59848323 10945502 10978491 123223819 191 21704 60961 96368 102198 160739 171798 447270 447916 448374 448378 450776 453548 466397 12358319 12358320 12358321 12358322 12358325 12358335 11807674 164669486 54732806 71056489 71313037 57483912 44400560 57636736 24773269);GNPS:(CCMSLIB00003135816 CCMSLIB00000084979 CCMSLIB00000578029);COCONUT:(CNP0216822);NORMAN:(NS00010570 NS00069703 NS00081931 NS00098759);METACYC:(ADENOSINE CPD-13918 CPD-8600 SMA-0000181);PLANTCYC:(ADENOSINE);CHEBI:(45327 9978 140569 93913 95180 16335 46515);KEGG:(C00212);DSSTox:(DTXSID101277970 DTXSID1022558 DTXSID10947210 DTXSID301289280 DTXSID30216758 DTXSID30859028 DTXSID80873976);LOTUS:(Q415107 Q105192710 Q190012 Q27165666 Q105192712);YMDB:(YMDB00058);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(OIRDTQYFTABQOQ-UHFFFAOYSA-N)	139443247998	312.095	35	0.579	757860202914392765	757859799015484104	1489	
1	1	-Infinity	-Infinity	-304.619	0.665	0.408	78.784	C6H9BClNO4	[M - H]-	C6H8BClNO4-	MYQKIHFKFNRHIK	InChI=1S/C6H8BClNO4/c1-13-4-2-3-5(7(10,11)12)9-6(4)8/h2-3,10-12H,1H3/q-1	(6-Chloro-5-methoxypyridin-2-yl)-trihydroxyboranuide	[B-](C1=NC(=C(C=C1)OC)Cl)(O)(O)O	1.652	122199152	PUBCHEM:(122199152)	2	203.028	35	0.582	757860209214240506	757859799162284754	1543	
