"","Feature","Comp1_Loading","Comp2_Loading"
"x1","267.9099_0.4145",0.000414767733369556,0.00110915132394185
"x2","323.89965_0.4153",0.00056667227233645,0.000330031733754271
"x3","225.00126_0.4148",0.000680373905533516,0.00172286474868308
"x4","210.96159_0.4217",0.000461561380995481,0.000606938379637515
"x5","266.95142_0.4211",0.000509953946731527,0.000784230991120341
"x6","195.96748_0.4191",0.00113473386003457,0.000998120086377193
"x7","228.95963_0.4229",-0.000137679614903134,-0.000216525432599542
"x8","238.95653_0.4224",0.000945865724060649,0.00113740254966005
"x9","180.98147_0.4294",0.000488894141419584,0.00100210465722394
"x10","264.96277_0.4382",0.00153413386185455,0.0033635740573028
"x11","210.94932_0.4247",0.000232675149667964,-0.000148855887176529
"x12","236.96786_0.4289",0.000539720830942101,0.00113470845159274
"x13","266.96022_0.4295",8.94671492336267e-05,0.000413194591929907
"x14","238.96544_0.4301",5.29280970394564e-05,0.000129656629265709
"x15","332.93757_0.4378",0.000807206340537404,0.0028793066090688
"x16","252.99613_0.4148",0.00144607792620689,0.00349003802870548
"x17","289.94845_0.447",0.000810367853677385,0.000697884863277785
"x18","291.94585_0.4494",0.000169564400587173,6.66264574438965e-05
"x19","290.94943_0.4506",0.000201304819673367,0.000322350730396714
"x20","246.96093_0.4505",-0.00016235952900495,0.000735495448785711
"x21","389.93706_0.4517",-0.000673524936646489,-0.000401841053522851
"x22","275.95663_0.4517",-0.000558533423902192,0.000850506948548688
"x23","114.98846_0.4518",-0.00156338256862341,0.00148780006420902
"x24","159.97889_0.4518",-0.00235343722393218,0.00215046247482839
"x25","247.96158_0.4676",0.000596880844080839,-0.000677549218895094
"x26","386.93871_0.4523",-0.00622762829570552,-0.00313630887048505
"x27","272.95851_0.4529",-0.0203303900126501,0.0285225326270362
"x28","274.95588_0.4529",-0.00506825987261724,0.00717491755602264
"x29","387.93988_0.4529",-0.00266616756481783,-0.000912931911539553
"x30","388.93593_0.4529",-0.00281293958576584,-0.00110547782563379
"x31","472.92382_0.4529",-0.0008603219287425,-0.000920425157406091
"x32","501.9201_0.4534",-0.00129437098137206,-0.000985972781832892
"x33","500.9189_0.4546",-0.00218510214446655,-0.00213420989134797
"x34","502.91685_0.4546",-0.00143748359445336,-0.000972231772761632
"x35","516.89611_0.4564",-0.00207008141747231,0.00742504911488199
"x36","403.91726_0.4571",-0.00142869962008656,0.007125221148015
"x37","404.91305_0.4589",-0.00130212268167056,0.00638481585545921
"x38","402.91602_0.4595",-0.00459457316269314,0.0236277725111602
"x39","289.93727_0.4626",-0.000669413952016125,0.00498971822128159
"x40","290.93338_0.4626",-0.000679018197454096,0.00485920433557154
"x41","288.93589_0.4632",-0.0037817734915928,0.0400027301939934
"x42","418.89358_0.4637",-0.000300251613432476,0.00495299789208146
"x43","362.9404_0.4865",0.000307776351191355,-0.0034877913458617
"x44","227.96605_0.4865",1.24605481273635e-05,-0.000881107100701746
"x45","228.96314_0.4865",-0.00058399701547644,-0.000836395914265322
"x46","294.95287_0.4841",0.00172975546276114,-0.00520849150049453
"x47","173.10392_0.4928",0.000632951623436753,0.00506994693115719
"x48","242.939_0.4934",-0.000621972518538329,0.00463329606438575
"x49","243.93994_0.4916",-8.91928877717163e-06,0.000591078115162055
"x50","244.93721_0.4909",3.07827948958485e-06,0.00084726193289511
"x51","378.91423_0.4878",0.000986616152113712,-0.00564233023459363
"x52","310.92684_0.4909",-0.000303500257971,-0.0042052603547872
"x53","462.87576_0.4915",0.000101747372584236,-0.00105662024045862
"x54","412.86019_0.5009",-0.000145624355838374,0.00199928129309993
"x55","328.8982_0.4978",-0.000245871167814567,0.00118829626962306
"x56","410.86247_0.5009",-0.00102086900495048,0.00522874783398181
"x57","478.84983_0.5016",-0.00034808037379285,0.000218460611680291
"x58","426.83866_0.5059",-0.000398112604460901,0.000838775171397896
"x59","468.89593_0.5078",2.94839202319508e-05,-0.00186443763904371
"x60","552.85726_0.5071",7.37543380800989e-05,-0.00219642054385442
"x61","275.90534_0.4371",0.00166378716650671,0.000487096379964717
"x62","342.87769_0.5059",-0.000142771701145372,0.00119932144381941
"x63","484.86988_0.5133",0.000241683521274159,-0.00452094495037835
"x64","400.9086_0.5133",0.000210526031435275,-0.0036940753089606
"x65","636.81859_0.5121",0.000124254312726465,-0.00219745161008959
"x66","416.8826_0.5146",0.000447334141433895,-0.00524837316853793
"x67","568.83106_0.5152",0.000261240376753806,-0.00365309499790828
"x68","500.84391_0.5152",0.000449450307622979,-0.00498337243252691
"x69","584.80504_0.5152",0.000294364447966464,-0.00272360172790658
"x70","130.95734_0.5158",0.000256043420291925,0.00189153855532492
"x71","264.93383_0.5158",0.00115734897526577,-0.0107650868674831
"x72","348.89517_0.5158",0.00107848566674281,-0.00547914501010687
"x73","332.92134_0.5158",0.000678782242278006,-0.00903682010582426
"x74","298.87964_0.5164",0.000231755575370277,0.00263315755719147
"x75","128.9593_0.5164",0.00407082153365973,0.0237153276356853
"x76","196.94648_0.5164",0.000739573307282613,0.00103215275656289
"x77","212.92048_0.5164",0.000413336519421924,0.00338292430188807
"x78","280.90775_0.5164",0.00137631272606462,0.00518204883189648
"x79","296.88165_0.5164",0.00129382723146955,0.0123807128440936
"x80","364.86899_0.5164",0.000909643722929268,0.00629559609323182
"x81","366.86688_0.5164",0.000178056362900494,0.0012466961780181
"x82","380.84305_0.5164",0.000739566101179072,0.00844258719337535
"x83","432.85635_0.5164",0.000413052285973423,-0.00196735364480758
"x84","448.83038_0.5164",0.000620634827914072,0.00429661312156481
"x85","652.79262_0.5165",0.00027812147228861,-0.0028990151328398
"x86","516.81755_0.5164",0.000314275968081088,-0.000338935040697663
"x87","532.79157_0.5164",0.000350654079103189,0.0047929798046615
"x88","464.80416_0.5164",0.000369122576070741,0.0043043441661378
"x89","600.77905_0.5164",0.00033843881060642,0.000926020220895819
"x90","616.75289_0.5164",0.000257947217507475,0.00366507385701988
"x91","684.74038_0.5164",0.000161360586766838,0.00145621502382947
"x92","440.88141_0.5012",-8.31410988863249e-05,0.00203383955670405
"x93","403.84818_0.5352",1.29967611494276e-05,0.000922904991055127
"x94","381.86083_0.5301",-2.94305467228324e-05,-0.000535291395661526
"x95","424.90734_0.519",-0.00039728891115422,-0.00018587187986615
"x96","508.86856_0.5266",6.92551855007825e-05,3.05211081080654e-05
"x97","273.95976_0.4523",-0.00514477681797148,0.00942451472045865
"x98","387.87441_0.5439",-0.000219495026305941,-0.000330706414272109
"x99","456.85816_0.5241",-5.54313653216103e-05,0.000435005633077543
"x100","270.89983_0.542",6.21770427178196e-05,-0.000582647087000671
"x101","427.85402_0.5326",-5.45925247045077e-05,-4.6663649577837e-05
"x102","134.04697_0.5843",0.000464409034218382,0.001165566396263
"x103","180.9306_0.5714",0.000121750226643218,0.000418986830414778
"x104","175.96827_0.5601",-0.0001783043299589,0.000395955644795264
"x105","244.96341_0.4512",-0.000898821893247387,0.00218617322734334
"x106","202.02037_0.591",-0.000413653826301629,-0.00075144689982959
"x107","229.02266_0.5947",0.000294499167487732,0.00475239708703811
"x108","213.04885_0.5947",-0.000885664970609956,0.00642791594711571
"x109","229.01417_0.5949",-2.35735659950579e-05,0.000264865454081468
"x110","230.03893_0.6524",0.000167422085119539,-0.00081896984709744
"x111","202.01208_0.6001",4.81886814789866e-05,-0.000340816926268627
"x112","329.0863_0.6038",0.00322051837717057,0.0138658533396284
"x113","104.0351_0.6063",0.00879676791966697,-0.0195784789507548
"x114","272.08589_0.602",0.00140635799023989,-0.00485614326285985
"x115","313.11279_0.6038",0.00550126452935375,0.00202064557277418
"x116","299.0968_0.6057",0.00361240478659452,0.00169224282293508
"x117","131.08226_0.6081",-0.000159573928098257,0.000734575072542886
"x118","127.05102_0.6081",0.00705378795986675,0.0126647123369674
"x119","145.06153_0.6081",0.0777301123511604,0.117778303137819
"x120","118.05072_0.6087",0.0106034365911822,-0.0214427271177157
"x121","131.04586_0.6087",0.023384835401324,0.00798660682221602
"x122","315.07002_0.6081",0.00174161279590366,0.00389892632880075
"x123","330.07031_0.6098",0.000801424877927813,0.00682069457650375
"x124","173.09267_0.5983",0.0431592266501501,-0.0218515098983919
"x125","314.09644_0.6115",0.000563592545919406,0.00204984908472489
"x126","133.05021_0.8899",-4.71717736796519e-05,-0.00105776040577875
"x127","369.01027_0.6173",-0.000327655428341992,0.00137588927082372
"x128","128.03504_0.6174",0.0125096578817538,0.00508176626551741
"x129","168.02737_0.6179",-0.00128028960857036,-0.00186620711088586
"x130","353.03621_0.6185",-0.000681334594049856,-0.000589456473265696
"x131","102.0558_0.6185",0.000855728159909588,-0.00177821806288096
"x132","331.0543_0.6202",-0.00172391860734659,0.00215432950240464
"x133","146.04549_0.6197",0.0254497817882379,-0.0418687242657984
"x134","315.0805_0.6202",-0.00208833315880311,-0.00275131546092494
"x135","214.02037_0.6215",-0.00114166656976672,-0.000768051437292185
"x136","172.02234_0.6004",-0.000662711559252502,-0.00154468135329428
"x137","227.96012_0.8831",0.00238301677113538,0.00766357607383371
"x138","318.07589_0.6384",-0.0172267216432555,-0.0155347677721994
"x139","340.94568_0.4891",0.000664825575770165,-0.00113574633957307
"x140","302.10042_0.6396",0.0207297488870052,-0.0125256674218227
"x141","461.15063_0.6407",0.00748126356599607,-0.0117966332211107
"x142","143.04582_0.6418",0.0136263745998431,-0.00690555364850329
"x143","488.16127_0.6424",0.00429060599580458,-0.0333256844256253
"x144","132.02988_0.6434",-0.0114165859556876,-0.00613559705290462
"x145","549.16623_0.6434",0.0364966744705313,-0.047054053863374
"x146","168.04266_0.6451",-0.000663255778949968,0.00446345077812007
"x147","228.06383_0.6451",-0.000484233583906127,0.00477453904300189
"x148","503.16062_0.6435",0.0107766797269994,-0.0140747045060824
"x149","211.03316_0.6463",0.000217911188502097,0.00106143051715154
"x150","225.06112_0.6467",0.0264135905811247,-0.0446337930480563
"x151","499.17715_0.6468",0.00116241812191607,-0.00560870182151183
"x152","474.14551_0.6473",-0.00618171754630833,-0.012353333663529
"x153","323.10892_0.649",0.0163905217539012,-0.0261831135499332
"x154","485.16146_0.649",0.0295954320551651,-0.049858181598683
"x155","278.98089_0.6496",0.00291174130687755,-0.00513001322069506
"x156","473.16144_0.6496",0.0119951118192852,-0.0132955443975612
"x157","459.04406_0.6502",0.00151058445806949,-0.00655831963734583
"x158","487.17744_0.6502",0.0293072446189652,-0.0334893816964054
"x159","683.22402_0.6507",0.00615801383128331,-0.0181203239098791
"x160","341.10826_0.6513",0.114286031802736,-0.3298333252194
"x161","387.11384_0.6513",0.0964901106311031,-0.349086320207988
"x162","389.11859_0.6513",0.00337685708493799,-0.011284845881467
"x163","446.15071_0.6513",0.00675037821479423,-0.0170490984213131
"x164","377.08497_0.6518",-0.00206499931577157,-0.013140336062452
"x165","439.08518_0.6518",0.00332277627862635,-0.0118526612385809
"x166","460.16661_0.6531",0.00403547436091353,-0.0112396917447624
"x167","471.07523_0.6535",0.000858857625052109,-0.0086474210782831
"x168","114.05577_0.6388",0.0117793943100623,-0.014354792420968
"x169","143.03462_0.6547",0.00998324102835919,-0.0197012066771609
"x170","574.08268_0.6552",0.00205110246074688,-0.00746899234915082
"x171","181.07134_0.6543",-0.00168508379815386,-0.00370748444948982
"x172","455.1014_0.6559",0.000522664533188049,-0.0112715324859568
"x173","161.04515_0.6564",0.0132192752368875,-0.0249948907440772
"x174","179.05564_0.6564",0.0763104904611278,-0.142168196271528
"x175","215.03231_0.6564",0.00263028539277303,-0.0082429426882333
"x176","113.0242_0.6571",0.0171259127371704,-0.0331387682236254
"x177","101.02417_0.6576",0.014128957173596,-0.025253761236982
"x178","412.03015_0.6586",0.00586022326221982,-0.0119192625597389
"x179","440.02508_0.6607",-0.00231439622579654,0.000822253156849471
"x180","242.07891_0.6798",0.0141574241077543,-0.0058508777821599
"x181","308.09804_0.6712",0.00633983988230019,-0.00845520660012013
"x182","297.1185_0.6647",0.00108686921220547,-0.00187299143201576
"x183","367.10454_0.6647",0.00425604294333426,-0.0141508630558706
"x184","277.97247_0.6658",0.00144944323723314,-0.00699451068376153
"x185","228.03599_0.6391",0.00206036779760003,-0.00259717035624534
"x186","261.97803_0.6671",0.000498790574029844,-0.00174510581820255
