formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C5H9ClNO5PS3	[M - H]-	C5H8ClNO5PS3-	Amino acids and Peptides	0.256	Small peptides	0.014	Aminoacids	0.014	Organic acids and derivatives	0.990	Organic sulfonic acids and derivatives	0.620	Organosulfonic acids and derivatives	0.616			Organosulfonic acids and derivatives	0.616	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Alkyl chlorides; Organothiophosphorus compounds; Organochlorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	323.900	25	0.414	736164890241884185	736164173699554075	22	
1	C5H4BrNO7	[M - H]-	C5H3BrNO7-	Polyketides	0.693	Cyclic polyketides	0.358	4-pyrone derivatives	0.502	Organic 1,3-dipolar compounds	0.705	Allyl-type 1,3-dipolar organic compounds	0.774	Organic nitro compounds	0.748	C-nitro compounds	0.774	Nitroaromatic compounds	0.680	Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl bromides; Organic nitro compounds; Organic oxoazanium compounds; Organobromides; Aryl halides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	267.910	25	0.415	736164878850151193	736164163708721122	19	
1	C5H8N2O3S2	[M + H2O - H]-	C5H9N2O4S2-	Amino acids and Peptides	0.990	Small peptides	0.609	Aminoacids	0.481	Organic acids and derivatives	0.992	Carboxylic acids and derivatives	0.989	Amino acids, peptides, and analogues	0.988	Amino acids and derivatives	0.987	Alpha amino acids and derivatives	0.981	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	225.001	25	0.415	736164875054304848	736164154535777599	23	
1	C5H8N2O3S2	[M + CH2O2 - H]-	C6H9N2O5S2-	Amino acids and Peptides	1.000	Small peptides	0.990	Aminoacids	0.995	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Amino acids and derivatives	0.999	Alpha amino acids	0.796	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Thiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	252.996	25	0.415	736164875897360206	736164161410242370	153	
1	C7H3ClF2O5	[M - H]-	C7H2ClF2O5-	Shikimates and Phenylpropanoids	0.612	Coumarins	0.252	Simple coumarins	0.294	Phenylpropanoids and polyketides	0.079	Coumarins and derivatives	0.207	Hydroxycoumarins	0.518	7-hydroxycoumarins	0.689	7-hydroxycoumarins	0.689	Organic compounds; Organoheterocyclic compounds; Phenols; Organic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Pyranones and derivatives; Aryl chlorides; Aryl fluorides; Fluorobenzenes; Organochlorides; Organofluorides; Carbonyl compounds; Halophenols; Benzenoids; Fluorophenols; O-fluorophenols; Aryl halides; Hydroxycoumarins; 7-hydroxycoumarins; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	238.957	25	0.422	736164881438037225	736164157958329923	33	
1	C5H10N2O4SSe	[M - H]-	C5H9N2O4SSe-	Amino acids and Peptides	0.995	Small peptides	0.991	Aminoacids	0.977	Organic acids and derivatives	0.992	Carboxylic acids and derivatives	0.984	Amino acids, peptides, and analogues	0.992	Amino acids and derivatives	0.992	Alpha amino acids	0.908	Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organometallic compounds; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Organometalloid compounds; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organoselenium compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Thioselenides; Amino acids; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	266.951	25	0.423	736164884155946950	736164163457062862	30	
1	C3H6N2O6S2	[M - H]-	C3H5N2O6S2-	Amino acids and Peptides	0.911	Small peptides	0.562	Aminoacids	0.222	Organic acids and derivatives	0.991	Organic sulfonic acids and derivatives	0.863	Organosulfonic acids and derivatives	0.854			Organosulfonic acids and derivatives	0.854	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	228.960	25	0.423	736164878732710630	736164155664045460	32	
1	C3H10N2O2SSe	[M - H]-	C3H9N2O2SSe-	Amino acids and Peptides	0.669	Small peptides	0.713	Aminoacids	0.404	Organosulfur compounds	0.955	Thioselenides	0.664					Thioselenides	0.664	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organometallic compounds; Monoalkylamines; Organometalloid compounds; Carbonyl compounds; Amines; Primary amines; Organoselenium compounds; Organic oxides; Hydrocarbon derivatives; Thioselenides; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	210.962	25	0.423	736164872302840251	736164151876588673	28	
1	C3H2ClFN4O2S	[M - H]-	C3HClFN4O2S-	Alkaloids	0.257	Histidine alkaloids	0.209	Imidazole alkaloids	0.208	Organohalogen compounds	0.987	Aryl halides	0.917	Aryl chlorides	0.760			Aryl chlorides	0.760	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Triazoles; Organohalogen compounds; Organonitrogen compounds; Azoles; Aryl chlorides; Organochlorides; Organofluorides; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	210.949	26	0.428	736164880494318705	736164151666873458	58	
1	C9H2O8	[M - H]-	C9HO8-	Shikimates and Phenylpropanoids	0.968	Coumarins	0.592	Simple coumarins	0.766	Phenylpropanoids and polyketides	0.920	Coumarins and derivatives	0.953	Hydroxycoumarins	0.950	7,8-dihydroxycoumarins	0.819	7,8-dihydroxycoumarins	0.819	Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Coumarins and derivatives; Phenylpropanoids and polyketides; Organooxygen compounds; Pyranones and derivatives; Polyols; Benzenoids; 7,8-dihydroxycoumarins; Hydroxycoumarins; 7-hydroxycoumarins; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	236.968	26	0.429	736164877193400550	736164157702477359	59	
