structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	1	0.077	0.077	-154.011	0.997	0.497	65.857	C5H8N2O3S2	[M + H2O - H]-	C5H9N2O4S2-	IFHBMRRNGFPWMF	InChI=1S/C5H8N2O3S2/c6-3(5(9)10)4(8)2-1-11-12-7-2/h2-3,7H,1,6H2,(H,9,10)	2-Amino-3-(dithiazolidin-4-yl)-3-oxopropanoic acid	C1C(NSS1)C(=O)C(C(=O)O)N	-3.200	91425286	BloodExposome:(91425286);PUBCHEM:(91425286);PUBMED	4194370	225.001	25	0.415	736164875054304848	736164154535777599	23	
1	1	0.087	0.087	-143.849	0.974	0.441	20.658	C5H8N2O3S2	[M + CH2O2 - H]-	C6H9N2O5S2-	IFHBMRRNGFPWMF	InChI=1S/C5H8N2O3S2/c6-3(5(9)10)4(8)2-1-11-12-7-2/h2-3,7H,1,6H2,(H,9,10)	2-Amino-3-(dithiazolidin-4-yl)-3-oxopropanoic acid	C1C(NSS1)C(=O)C(C(=O)O)N	-3.200	91425286	BloodExposome:(91425286);PUBCHEM:(91425286);PUBMED	4194370	252.996	25	0.415	736164875897360206	736164161410242370	153	
1	1	0.013	0.013	-70.468	0.631	0.987	55.783	C3H6N2O6S2	[M - H]-	C3H5N2O6S2-	MQNUKYBHWUGEQW	InChI=1S/C3H6N2O6S2/c4-2-1-3(5,12(6,7)8)13(9,10)11/h1,5H2,(H,6,7,8)(H,9,10,11)	1-Amino-2-cyanoethane-1,1-disulfonate	C(C#N)C(N)(S(=O)(=O)O)S(=O)(=O)O	-5.500	5066469;5066470	PUBCHEM:(5066469 5066470)	2	228.960	25	0.423	736164878732710630	736164155664045460	32	
1	2	-Infinity	-Infinity	-111.386	0.058	0.500	27.021	C2F2N4O4	[M - H]-	C2-HF2N4O4-	AKDXEUNSZDIBOC	InChI=1S/C2F2N4O4/c3-6(4)2(1-5,7(9)10)8(11)12	(Difluoroamino)dinitroacetonitrile	C(#N)C(N(F)F)([N+](=O)[O-])[N+](=O)[O-]	0.200	15258517	PUBCHEM:(15258517);DSSTox:(DTXSID10570587)	137438953474	180.981	26	0.430	736164871375898528	736164146537239311	53	
1	1	-Infinity	-Infinity	-165.410	0.996	0.988	21.832	C8H5ClN2O6S	[M - H]-	C8H4ClN2O6S-	ZLIQOFYEOCDXSS	InChI=1S/C8H5ClN2O6S/c9-3-4-18(16,17)8-2-1-6(10(12)13)5-7(8)11(14)15/h1-5H	1-(2-Chloroethenylsulfonyl)-2,4-dinitrobenzene	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)C=CCl	2.162	154109166	PUBCHEM:(154109166)	2	290.949	27	0.451	736164879378633638	736164167819139387	194	
1	2	-Infinity	-Infinity	-368.207	0.056	0.003	57.923	C10H7F3N2O5S3	[M - H]-	C10H6F3N2O5S3-	JIQLKWCGSXFXTN	InChI=1S/C10H7F3N2O5S3/c1-19-8(16)7-6(20-23(17,18)10(11,12)13)5-4(22-7)3-14-9(15-5)21-2/h3H,1-2H3	Methyl 2-(methylsulfanyl)-7-{[(trifluoromethyl)sulfonyl]oxy}thieno[3,2-d]pyrimidine-6-carboxylate	COC(=O)C1=C(C2=NC(=NC=C2S1)SC)OS(=O)(=O)C(F)(F)F	3.100	86697952	PUBCHEM:(86697952)	2	386.939	27	0.452	736164942758784982	736164182381764115	224	
1	3	0.107	0.107	-61.885	0.075	0.145	43.153	C3H3N2O4P	[M - H]-	C3H2N2O4P-	QWKXVHMKFAERMH	InChI=1S/C3H3N2O4P/c6-10(7,8)9-3-4-1-2-5-3/h1-2H,(H-,6,7,8)/p+1	Imidazol-2-ylidene(phosphono)oxidanium	C1=NC(=[O+]P(=O)(O)O)N=C1	-2.000	57129519	PUBCHEM:(57129519);PUBMED:(null)	66	160.976	27	0.453	736164899456772731	736164141269193192	1488	
1	4	-Infinity	-Infinity	-172.489	0.077	0.065	38.462	C8H6Cl2N4O5	[M - H3N - H]-	C8H2Cl2N3O5-	REXVCSPRURMFJP	InChI=1S/C8H6Cl2N4O5/c9-7(10)8(15)12-11-5-2-1-4(13(16)17)3-6(5)14(18)19/h1-3,7,11H,(H,12,15)	2,2-dichloro-N'-(2,4-dinitrophenyl)acetohydrazide	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])NNC(=O)C(Cl)Cl	2.346	3339001	PUBCHEM:(3339001)	2	289.937	28	0.463	736164922097634752	736164167512955170	373	
1	8	-Infinity	-Infinity	-209.540	0.029	0.034	1.990	C12H6ClIN2O5	[M - H]-	C12H5ClIN2O5-	HKYKYWAFJJCGLM	InChI=1S/C12H6ClIN2O5/c13-6-3-9(16(19)20)11(15-5-6)21-10-2-1-7(14)4-8(10)12(17)18/h1-5H,(H,17,18)	2-(5-Chloro-3-nitropyridin-2-yl)oxy-5-iodobenzoic acid	C1=CC(=C(C=C1I)C(=O)O)OC2=C(C=C(C=N2)Cl)[N+](=O)[O-]	3.300	107732545	PUBCHEM:(107732545)	2	418.894	28	0.464	736164895044363550	736164186622205824	382	
1	1	0.233	0.233	-73.611	1.000	1.000	58.769	C6H14N4O2	[M - H]-	C6H13N4O2-	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Harg	C(CC(C(=O)O)N)CN=C(N)N	-1.634	154624364;101002480;17753939;58618352;4473077;161563502;161563501;9793996;9815369;6913512;20798608;155634912;159961799;163358946;87559318;76974066;76974115;76974116;5231987;5246487;5260203;16217519;16217580;16217799;5287702;5460857;5460858;5460860;5460861;160927720;135207570;51037639;51037640;51037641;118099679;118264379;129834582;129850676;134817835;22726443;58203011;124202805;101611381;162642132;162642135;52941769;135705201;59119146;59373188;59373181;59373187;59373199;160448860;140533858;10313339;88031296;89059445;151306026;90938205;153693995;153709895;153712626;54144538;54144539;123552702;131801519;131878490;132276652;1549073;1549104;11321257;140491596;59645172;59667378;88901885;88901889;88901891;88901915;59905797;232;6322;28782;71070;444360;46932130;12205337;117064614;117065487;11770759;122363709;142696383;90472354;164899900;57182507;71308530;71309938;71310245;57616918;57616923;57616939;57616947	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000517 HMDB0003416 HMDB0062762 HMDB0251511 HMDB0303361);MiMeDB:(MMDBc0000112 MMDBc0048340 MMDBc0057189);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(232 1549073 5460861 66250 6322 71070 5287702 5460857);SUPERNATURAL:(SN0262438);HSDB:(74-79-3);MESH:(6322 5287702);FooDB:(FDB002257 FDB011914 FDB023167);PUBCHEM:(154624364 101002480 17753939 58618352 4473077 161563502 161563501 9793996 9815369 6913512 20798608 155634912 159961799 163358946 87559318 76974066 76974115 76974116 5231987 5246487 5260203 16217519 16217580 16217799 5287702 5460857 5460858 5460860 5460861 160927720 135207570 51037639 51037640 51037641 118099679 118264379 129834582 129850676 134817835 22726443 58203011 124202805 101611381 162642132 162642135 52941769 135705201 59119146 59373188 59373181 59373187 59373199 160448860 140533858 10313339 88031296 89059445 151306026 90938205 153693995 153709895 153712626 54144538 54144539 123552702 131801519 131878490 132276652 1549073 1549104 11321257 140491596 59645172 59667378 88901885 88901889 88901891 88901915 59905797 232 6322 28782 71070 444360 46932130 12205337 117064614 117065487 11770759 122363709 142696383 90472354 164899900 57182507 71308530 71309938 71310245 57616918 57616923 57616939 57616947);GNPS:(CCMSLIB00003136581);COCONUT:(CNP0257247);NORMAN:(NS00079284 NS00074187 NS00085581 NS00080232 NS00005927 NS00078080);METACYC:(CPD0-2700 CPD-220);PLANTCYC:(ARG);CHEBI:(32697 15816 32682 31235 29016 32695 32683 32689 192075 32681 32696 16467 32688 32690);KEGG:(C00792 C02385 C00062);DSSTox:(DTXSID00370078 DTXSID10206834 DTXSID10745551 DTXSID201031042 DTXSID20883650 DTXSID30726544 DTXSID30935331 DTXSID40883354 DTXSID50238230 DTXSID6041056 DTXSID60883513 DTXSID80170033 DTXSID8022618);LOTUS:(Q27076987 Q173670 Q27104032);YMDB:(YMDB00592);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(ODKSFYDXXFIFQN-UHFFFAOYSA-N)	139577465726	173.104	30	0.493	736164941450161622	736164145270559423	421	
1	1	0.017	0.017	-90.274	0.951	0.956	4.650	C4H4ClN3OS	[M - H]-	C4H3ClN3OS-	AGBUSAYDOBFEOO	InChI=1S/C4H4ClN3OS/c5-3-1-7-2-4(8-3)10(6)9/h1-2H,6H2	6-Chloropyrazine-2-sulfinamide	C1=C(N=C(C=N1)Cl)S(=O)N	0.000	165381394	PUBCHEM:(165381394)	2	175.968	30	0.499	736164921405574330	736164145991979756	776	
1	2	-Infinity	-Infinity	-121.439	0.102	0.095	-1.520	C12H8Cl4N2O6S2	[M - H]-	C12H7Cl4N2O6S2-	CMEODXIMADCZJN	InChI=1S/C12H8Cl4N2O6S2/c13-7-1-5(2-8(14)11(7)19)25(21,22)17-18-26(23,24)6-3-9(15)12(20)10(16)4-6/h1-4,17-20H	3,5-dichloro-N'-(3,5-dichloro-4-hydroxyphenyl)sulfonyl-4-hydroxybenzenesulfonohydrazide	C1=C(C=C(C(=C1Cl)O)Cl)S(=O)(=O)NNS(=O)(=O)C2=CC(=C(C(=C2)Cl)O)Cl	3.500	59350328	PUBCHEM:(59350328)	2	478.850	30	0.502	736164914870845987	736164195979698873	508	
1	1	-Infinity	-Infinity	-144.359	0.997	0.993	14.688	C9H2ClF3O2S	[M - H]-	C9HClF3O2S-	HKZZPXGEBBCQAB	InChI=1S/C9H2ClF3O2S/c10-4-2-1-3(11)5(12)6(13)7(2)16-8(4)9(14)15/h1H,(H,14,15)	3-Chloro-5,6,7-trifluoro-1-benzothiophene-2-carboxylic acid	C1=C2C(=C(C(=C1F)F)F)SC(=C2Cl)C(=O)O	3.700	91756625	PUBCHEM:(91756625)	2	264.934	31	0.516	736164922479316569	736164163272513471	584	
1	1	-Infinity	-Infinity	-98.560	0.921	0.814	35.637	C4H3F6NO3S2	[M - H]-	C4H2F6NO3S2-	BFNOUVQGWMYHRB	InChI=1S/C4H3F6NO3S2/c1-15(12)3(7,8)2(5,6)4(9,10)16(13,14)11-15/h1H2,(H,11,12)	4,4,5,5,6,6-Hexafluoro-3-methylidene-1,3,2-dithiazinane 1,1,3-trioxide	C=S1(=O)C(C(C(S(=O)(=O)N1)(F)F)(F)F)(F)F	2.200	88892606	PUBCHEM:(88892606)	2	289.937	32	0.528	736164935896900408	736164167445846301	1433	
1	2	-Infinity	-Infinity	-208.985	0.145	0.154	-3.194	C8H10Br2ClN3O2S	[M - H]-	C8H9Br2ClN3O2S-	RAJDKLWFKJOPGH	InChI=1S/C8H10Br2ClN3O2S/c1-5(2-11)4-17(15,16)14-8-7(10)13-6(9)3-12-8/h3,5H,2,4H2,1H3,(H,12,14)	3-chloro-N-(3,5-dibromopyrazin-2-yl)-2-methylpropane-1-sulfonamide	CC(CS(=O)(=O)NC1=NC=C(N=C1Br)Br)CCl	2.500	108374811	PUBCHEM:(108374811)	2	403.848	32	0.535	736164896646588130	736164184881569509	713	
1	1	0.266	0.266	-88.263	1.000	1.000	5.433	C6H14N4O2	[M - H]-	C6H13N4O2-	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Harg	C(CC(C(=O)O)N)CN=C(N)N	-1.634	154624364;101002480;17753939;58618352;4473077;161563502;161563501;9793996;9815369;6913512;20798608;155634912;159961799;163358946;87559318;76974066;76974115;76974116;5231987;5246487;5260203;16217519;16217580;16217799;5287702;5460857;5460858;5460860;5460861;160927720;135207570;51037639;51037640;51037641;118099679;118264379;129834582;129850676;134817835;22726443;58203011;124202805;101611381;162642132;162642135;52941769;135705201;59119146;59373188;59373181;59373187;59373199;160448860;140533858;10313339;88031296;89059445;151306026;90938205;153693995;153709895;153712626;54144538;54144539;123552702;131801519;131878490;132276652;1549073;1549104;11321257;140491596;59645172;59667378;88901885;88901889;88901891;88901915;59905797;232;6322;28782;71070;444360;46932130;12205337;117064614;117065487;11770759;122363709;142696383;90472354;164899900;57182507;71308530;71309938;71310245;57616918;57616923;57616939;57616947	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000517 HMDB0003416 HMDB0062762 HMDB0251511 HMDB0303361);MiMeDB:(MMDBc0000112 MMDBc0048340 MMDBc0057189);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(232 1549073 5460861 66250 6322 71070 5287702 5460857);SUPERNATURAL:(SN0262438);HSDB:(74-79-3);MESH:(6322 5287702);FooDB:(FDB002257 FDB011914 FDB023167);PUBCHEM:(154624364 101002480 17753939 58618352 4473077 161563502 161563501 9793996 9815369 6913512 20798608 155634912 159961799 163358946 87559318 76974066 76974115 76974116 5231987 5246487 5260203 16217519 16217580 16217799 5287702 5460857 5460858 5460860 5460861 160927720 135207570 51037639 51037640 51037641 118099679 118264379 129834582 129850676 134817835 22726443 58203011 124202805 101611381 162642132 162642135 52941769 135705201 59119146 59373188 59373181 59373187 59373199 160448860 140533858 10313339 88031296 89059445 151306026 90938205 153693995 153709895 153712626 54144538 54144539 123552702 131801519 131878490 132276652 1549073 1549104 11321257 140491596 59645172 59667378 88901885 88901889 88901891 88901915 59905797 232 6322 28782 71070 444360 46932130 12205337 117064614 117065487 11770759 122363709 142696383 90472354 164899900 57182507 71308530 71309938 71310245 57616918 57616923 57616939 57616947);GNPS:(CCMSLIB00003136581);COCONUT:(CNP0257247);NORMAN:(NS00079284 NS00074187 NS00085581 NS00080232 NS00005927 NS00078080);METACYC:(CPD0-2700 CPD-220);PLANTCYC:(ARG);CHEBI:(32697 15816 32682 31235 29016 32695 32683 32689 192075 32681 32696 16467 32688 32690);KEGG:(C00792 C02385 C00062);DSSTox:(DTXSID00370078 DTXSID10206834 DTXSID10745551 DTXSID201031042 DTXSID20883650 DTXSID30726544 DTXSID30935331 DTXSID40883354 DTXSID50238230 DTXSID6041056 DTXSID60883513 DTXSID80170033 DTXSID8022618);LOTUS:(Q27076987 Q173670 Q27104032);YMDB:(YMDB00592);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(ODKSFYDXXFIFQN-UHFFFAOYSA-N)	139577465726	173.104	35	0.586	736164935733322450	736164145350251204	1712	
1	1	0.014	0.014	-292.394	0.986	0.895	60.069	C5H12ClN2O4P	[M - H]-	C5H11ClN2O4P-	DYIGSOPIPXRXIT	InChI=1S/C5H12ClN2O4P/c1-3(13(10,11)12)8-5(9)4(7)2-6/h3-4H,2,7H2,1H3,(H,8,9)(H2,10,11,12)	1-[[(2R)-2-amino-3-chloropropanoyl]amino]ethylphosphonic acid	CC(NC(=O)C(CCl)N)P(=O)(O)O	-4.300	129187276;129211009	PUBCHEM:(129187276 129211009)	2	229.014	36	0.595	736164948270102340	736164155928286632	798	
1	1	0.104	0.104	-164.432	1.000	1.000	50.309	C6H9F3N2O3	[M - H]-	C6H8F3N2O3-	BNFYXHLUPUQJDI	InChI=1S/C6H9F3N2O3/c7-6(8,9)1-4(12)11-2-3(10)5(13)14/h3H,1-2,10H2,(H,11,12)(H,13,14)	(2S)-2-amino-3-(3,3,3-trifluoropropanoylamino)propanoic acid	C(C(C(=O)O)N)NC(=O)CC(F)(F)F	-3.000	87289495;87289496	PUBCHEM:(87289495 87289496)	2	213.049	36	0.597	736164909762181133	736164152472179881	782	
1	1	0.917	0.917	-29.308	1.000	1.000	110.656	C7H14N2O3	[M - H]-	C7H13N2O3-	JRLGPAXAGHMNOL	InChI=1S/C7H14N2O3/c1-5(10)9-6(7(11)12)3-2-4-8/h6H,2-4,8H2,1H3,(H,9,10)(H,11,12)	N-Acetylornithine	CC(=O)NC(CCCN)C(=O)O	-1.166	6992102;40152689;40152690;139903832;131708631;907;439232	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0003357);MiMeDB:(MMDBc0000600);BloodExposome:(439232 40152690 6992102);SUPERNATURAL:(SN0173228);MESH:(439232);FooDB:(FDB031020);PUBCHEM:(6992102 40152689 40152690 139903832 131708631 907 439232);COCONUT:(CNP0254426);NORMAN:(NS00014889);METACYC:(SMA-0000072 SMA-0000125 SMA-0000442 SMA-0000490 SMA-0000506);PLANTCYC:(N-ALPHA-ACETYLORNITHINE);CHEBI:(16543 181895 57805);KEGG:(C00437);DSSTox:(DTXSID701315013 DTXSID80331400);LOTUS:(Q26690116 Q115946501);YMDB:(YMDB00028);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	139376134510	173.093	36	0.598	736164947229914455	736164145190867642	858	
1	1	0.235	0.235	-33.497	0.915	0.412	12.379	C4H6F3NO3	[M - H]-	C4H5F3NO3-	ITYVCUQVLKIGEY	InChI=1S/C4H6F3NO3/c5-4(6,7)2(9)1(8)3(10)11/h1-2,9H,8H2,(H,10,11)	(2R,3R)-2-azaniumyl-4,4,4-trifluoro-3-hydroxybutanoate	C(C(C(F)(F)F)O)(C(=O)O)N	-0.792	102194807;1550051;1550052;1550053;1550054;1550055;1550056;1550057;1550058;360170	MESH:(1550058);PUBCHEM:(102194807 1550051 1550052 1550053 1550054 1550055 1550056 1550057 1550058 360170);PUBMED	70	172.022	36	0.601	736164896852109112	736164143957742211	917	
1	1	0.006	0.006	-420.226	1.000	1.000	51.490	C8H14F3N3O4	[M - H]-	C8H13F3N3O4-	AKTVXINQQRVVDS	InChI=1S/C8H14F3N3O4/c1-14(2,6-18-13(16)17)5-3-4-12-7(15)8(9,10)11/h3-6H2,1-2H3/p+1	Dimethyl-(nitrooxymethyl)-[3-[(2,2,2-trifluoroacetyl)amino]propyl]azanium	C[N+](C)(CCCNC(=O)C(F)(F)F)CO[N+](=O)[O-]	1.400	130266777	PUBCHEM:(130266777)	2	272.086	36	0.602	736164936362468420	736164164153317381	822	
1	2	0.041	0.041	-376.540	0.033	0.115	63.637	C12H18N4O6	[M - H]-	C12H17N4O6-	YNVOYRHNPUBRNU	InChI=1S/C12H18N4O6/c17-3-1-9(19)15-11(21)7-5-14-8(6-13-7)12(22)16-10(20)2-4-18/h5-6,9-10,17-20H,1-4H2,(H,15,21)(H,16,22)	2-N,5-N-bis(1,3-dihydroxypropyl)pyrazine-2,5-dicarboxamide	C1=C(N=CC(=N1)C(=O)NC(CCO)O)C(=O)NC(CCO)O	-2.700	22458053	PUBCHEM:(22458053)	2	313.113	36	0.604	736164903416197027	736164171497544295	823	
1	1	0.058	0.058	-334.009	0.557	0.446	53.855	C13H13F3N4O3	[M - H]-	C13H12F3N4O3-	WQORUWQNKPYQNE	InChI=1S/C13H13F3N4O3/c1-8(11(21)18-7-6-17)19-12(22)20-9-2-4-10(5-3-9)23-13(14,15)16/h2-5,8H,7H2,1H3,(H,18,21)(H2,19,20,22)	N-(cyanomethyl)-2-[[4-(trifluoromethoxy)phenyl]carbamoylamino]propanamide	CC(C(=O)NCC#N)NC(=O)NC1=CC=C(C=C1)OC(F)(F)F	1.600	90863717	PUBCHEM:(90863717)	2	329.086	36	0.604	736164918494726418	736164174609718123	809	
