filename,Keep,Keep_All,Path,Species_binomial,Genus,sampleCode,speciesCode,Plot,Path_Demo,mzmine_sample_type,Count,run_date,Family
alcgla_MDP0304.mzXML,No,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0304.mzXML,Alchornea glandulosa,Alchornea,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/alcgla_MDP0304.mzXML,alcgla,PP_Lomaka_40,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/alcgla_MDP0304.mzXML,sample,6,,Euphorbiaceae
alcgla_MDP0461.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0461.mzXML,Alchornea glandulosa,Alchornea,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/alcgla_MDP0461.mzXML,alcgla,PP_Tocoaq_28,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/alcgla_MDP0461.mzXML,sample,6,,Euphorbiaceae
alcgla_MDP0002.mzXML,No,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0002.mzXML,Alchornea glandulosa,Alchornea,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/alcgla_MDP0002.mzXML,alcgla,PP_Tintay_24,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/alcgla_MDP0002.mzXML,sample,6,,Euphorbiaceae
alcgla_MDP0531.mzXML,No,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0531.mzXML,Alchornea glandulosa,Alchornea,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/alcgla_MDP0531.mzXML,alcgla,PP_Fuerte_27,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/alcgla_MDP0531.mzXML,sample,6,,Euphorbiaceae
alcgla_MDP0088.mzXML,No,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0088.mzXML,Alchornea glandulosa,Alchornea,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/alcgla_MDP0088.mzXML,alcgla,PP_Tintay_25,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/alcgla_MDP0088.mzXML,sample,6,,Euphorbiaceae
alcgla_MDP0707.mzXML,No,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0707.mzXML,Alchornea glandulosa,Alchornea,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/alcgla_MDP0707.mzXML,alcgla,PP_Lomasa_39,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/alcgla_MDP0707.mzXML,sample,6,,Euphorbiaceae
annRSS85_MDP0307.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0307.mzXML,Annona RSS-85,Annona,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/annRSS85_MDP0307.mzXML,annRSS85,PP_Lomaka_40,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/annRSS85_MDP0307.mzXML,sample,6,,Annonaceae
annRSS85_MDP0636.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0636.mzXML,Annona RSS-85,Annona,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/annRSS85_MDP0636.mzXML,annRSS85,PP_Tocoaq_29,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/annRSS85_MDP0636.mzXML,sample,6,,Annonaceae
annRSS85_MDP0464.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0464.mzXML,Annona RSS-85,Annona,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/annRSS85_MDP0464.mzXML,annRSS85,PP_Tocoaq_28,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/annRSS85_MDP0464.mzXML,sample,6,,Annonaceae
annRSS85_MDP0415.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0415.mzXML,Annona RSS-85,Annona,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/annRSS85_MDP0415.mzXML,annRSS85,PP_Tocoaq_30,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/annRSS85_MDP0415.mzXML,sample,6,,Annonaceae
