filename,Species_binomial,Genus,speciesCode,mzmine_sample_type,Family
annRSS85_MDP0005.mzXML,Annona RSS-85,Annona,annRSS85,sample,Annonaceae
annRSS85_MDP0091.mzXML,Annona RSS-85,Annona,annRSS85,sample,Annonaceae
annRSS85_MDP0307.mzXML,Annona RSS-85,Annona,annRSS85,sample,Annonaceae
annRSS85_MDP0415.mzXML,Annona RSS-85,Annona,annRSS85,sample,Annonaceae
annRSS85_MDP0464.mzXML,Annona RSS-85,Annona,annRSS85,sample,Annonaceae
annRSS85_MDP0636.mzXML,Annona RSS-85,Annona,annRSS85,sample,Annonaceae
beitov_MDP0008.mzXML,Beilschmiedia tovarensis,Beilschmiedia,beitov,sample,Lauraceae
beitov_MDP0229.mzXML,Beilschmiedia tovarensis,Beilschmiedia,beitov,sample,Lauraceae
beitov_MDP0466.mzXML,Beilschmiedia tovarensis,Beilschmiedia,beitov,sample,Lauraceae
beitov_MDP0536.mzXML,Beilschmiedia tovarensis,Beilschmiedia,beitov,sample,Lauraceae
beitov_MDP0638.mzXML,Beilschmiedia tovarensis,Beilschmiedia,beitov,sample,Lauraceae
elamar_MDP0022.mzXML,Elaeagia mariae,Elaeagia,elamar,sample,Rubiaceae
elamar_MDP0104.mzXML,Elaeagia mariae,Elaeagia,elamar,sample,Rubiaceae
elamar_MDP0244.mzXML,Elaeagia mariae,Elaeagia,elamar,sample,Rubiaceae
elamar_MDP0423.mzXML,Elaeagia mariae,Elaeagia,elamar,sample,Rubiaceae
elamar_MDP0479.mzXML,Elaeagia mariae,Elaeagia,elamar,sample,Rubiaceae
elamar_MDP0547.mzXML,Elaeagia mariae,Elaeagia,elamar,sample,Rubiaceae
elamar_MDP0651.mzXML,Elaeagia mariae,Elaeagia,elamar,sample,Rubiaceae
elamar_MDP0720.mzXML,Elaeagia mariae,Elaeagia,elamar,sample,Rubiaceae
ingalb_MDP0036.mzXML,Inga alba,Inga,ingalb,sample,Fabaceae
ingalb_MDP0115.mzXML,Inga alba,Inga,ingalb,sample,Fabaceae
ingalb_MDP0260.mzXML,Inga alba,Inga,ingalb,sample,Fabaceae
ingalb_MDP0336.mzXML,Inga alba,Inga,ingalb,sample,Fabaceae
ingalb_MDP0735.mzXML,Inga alba,Inga,ingalb,sample,Fabaceae
myr2fal_MDP0051.mzXML,Myrcia fallax,Myrcia,myr2fal,sample,Myrtaceae
myr2fal_MDP0130.mzXML,Myrcia fallax,Myrcia,myr2fal,sample,Myrtaceae
myr2fal_MDP0269.mzXML,Myrcia fallax,Myrcia,myr2fal,sample,Myrtaceae
myr2fal_MDP0360.mzXML,Myrcia fallax,Myrcia,myr2fal,sample,Myrtaceae
myr2fal_MDP0569.mzXML,Myrcia fallax,Myrcia,myr2fal,sample,Myrtaceae
myr2fal_MDP0678.mzXML,Myrcia fallax,Myrcia,myr2fal,sample,Myrtaceae
myr8cor_MDP0214.mzXML,Myrsine coriacea,Myrsine,myr8cor,sample,Primulaceae
myr8cor_MDP0444.mzXML,Myrsine coriacea,Myrsine,myr8cor,sample,Primulaceae
myr8cor_MDP0507.mzXML,Myrsine coriacea,Myrsine,myr8cor,sample,Primulaceae
myr8cor_MDP0617.mzXML,Myrsine coriacea,Myrsine,myr8cor,sample,Primulaceae
myr8cor_MDP0679.mzXML,Myrsine coriacea,Myrsine,myr8cor,sample,Primulaceae
ocoaci_MDP0057.mzXML,Ocotea aciphylla,Ocotea,ocoaci,sample,Lauraceae
ocoaci_MDP0134.mzXML,Ocotea aciphylla,Ocotea,ocoaci,sample,Lauraceae
ocoaci_MDP0275.mzXML,Ocotea aciphylla,Ocotea,ocoaci,sample,Lauraceae
ocoaci_MDP0365.mzXML,Ocotea aciphylla,Ocotea,ocoaci,sample,Lauraceae
ocoaci_MDP0576.mzXML,Ocotea aciphylla,Ocotea,ocoaci,sample,Lauraceae
ocoaci_MDP0751.mzXML,Ocotea aciphylla,Ocotea,ocoaci,sample,Lauraceae
pou2bic_MDP0068.mzXML,Pourouma bicolor,Pourouma,pou2bic,sample,Urticaceae
pou2bic_MDP0144.mzXML,Pourouma bicolor,Pourouma,pou2bic,sample,Urticaceae
pou2bic_MDP0284.mzXML,Pourouma bicolor,Pourouma,pou2bic,sample,Urticaceae
pou2bic_MDP0375.mzXML,Pourouma bicolor,Pourouma,pou2bic,sample,Urticaceae
pou2bic_MDP0764.mzXML,Pourouma bicolor,Pourouma,pou2bic,sample,Urticaceae
sch4obo_MDP0079.mzXML,Schizocalyx obovatus,Schizocalyx,sch4obo,sample,Rubiaceae
sch4obo_MDP0156.mzXML,Schizocalyx obovatus,Schizocalyx,sch4obo,sample,Rubiaceae
sch4obo_MDP0293.mzXML,Schizocalyx obovatus,Schizocalyx,sch4obo,sample,Rubiaceae
sch4obo_MDP0394.mzXML,Schizocalyx obovatus,Schizocalyx,sch4obo,sample,Rubiaceae
sch4obo_MDP0772.mzXML,Schizocalyx obovatus,Schizocalyx,sch4obo,sample,Rubiaceae
weilec_MDP0087.mzXML,Weinmannia lechleriana,Weinmannia,weilec,sample,Cunoniaceae
weilec_MDP0160.mzXML,Weinmannia lechleriana,Weinmannia,weilec,sample,Cunoniaceae
weilec_MDP0526.mzXML,Weinmannia lechleriana,Weinmannia,weilec,sample,Cunoniaceae
weilec_MDP0599.mzXML,Weinmannia lechleriana,Weinmannia,weilec,sample,Cunoniaceae
weilec_MDP0703.mzXML,Weinmannia lechleriana,Weinmannia,weilec,sample,Cunoniaceae
