filename,Type,Genus,mzML_path,mzmine_sample_type,Species
TRP00001_CARYCO.mzXML,pool,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TRP00001_CARYCO.mzXML,sample,Carya cordiformis
TRP00001_CARYGL.mzXML,pool,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TRP00001_CARYGL.mzXML,sample,Carya glabra
TRP00001_CARYO2.mzXML,pool,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TRP00001_CARYO2.mzXML,sample,Carya ovata
TRP00001_CARYTE.mzXML,pool,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TRP00001_CARYTE.mzXML,sample,Carya texana
TRP00001_CARYTO.mzXML,pool,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TRP00001_CARYTO.mzXML,sample,Carya tomentosa
TRP00001_JUGLNI.mzXML,pool,Juglans,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TRP00001_JUGLNI.mzXML,sample,Juglans nigra
TR00158_CARYCO.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00158_CARYCO.mzXML,sample,Carya cordiformis
TR00163_CARYCO.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00163_CARYCO.mzXML,sample,Carya cordiformis
TR00170_CARYCO.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00170_CARYCO.mzXML,sample,Carya cordiformis
TR00172_CARYCO.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00172_CARYCO.mzXML,sample,Carya cordiformis
TR00171_CARYCO.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00171_CARYCO.mzXML,sample,Carya cordiformis
TR00041_CARYGL.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00041_CARYGL.mzXML,sample,Carya glabra
TR00070_CARYGL.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00070_CARYGL.mzXML,sample,Carya glabra
TR00152_CARYGL.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00152_CARYGL.mzXML,sample,Carya glabra
TR00165_CARYGL.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00165_CARYGL.mzXML,sample,Carya glabra
TR00162_CARYGL.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00162_CARYGL.mzXML,sample,Carya glabra
TR00029_CARYO2.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00029_CARYO2.mzXML,sample,Carya ovata
TR00071_CARYO2.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00071_CARYO2.mzXML,sample,Carya ovata
TR00094_CARYO2.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00094_CARYO2.mzXML,sample,Carya ovata
TR00072_CARYO2.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00072_CARYO2.mzXML,sample,Carya ovata
TR00027_CARYTE.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00027_CARYTE.mzXML,sample,Carya texana
TR00046_CARYTE.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00046_CARYTE.mzXML,sample,Carya texana
TR00084_CARYTE.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00084_CARYTE.mzXML,sample,Carya texana
TR00091_CARYTE.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00091_CARYTE.mzXML,sample,Carya texana
TR00100_CARYTE.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00100_CARYTE.mzXML,sample,Carya texana
TR00011_CARYTO.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00011_CARYTO.mzXML,sample,Carya tomentosa
TR00019_CARYTO.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00019_CARYTO.mzXML,sample,Carya tomentosa
TR00001_CARYTO.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00001_CARYTO.mzXML,sample,Carya tomentosa
TR00082_CARYTO.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00082_CARYTO.mzXML,sample,Carya tomentosa
TR00083_CARYTO.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00083_CARYTO.mzXML,sample,Carya tomentosa
TR00143_CARYTO.mzXML,sample,Carya,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00143_CARYTO.mzXML,sample,Carya tomentosa
TR00042_JUGLNI.mzXML,sample,Juglans,/stor/work/Sedio/UPLCMS_Data/POD_Pipeline_Demo_Data/DemoData_Carya/TR00042_JUGLNI.mzXML,sample,Juglans nigra
