formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C6H6ClFO4	[M + Na]+	C6H6ClFNaO4+	Polyketides	0.836	Phenolic acids (C6-C1)	0.224	Simple phenolic acids	0.163	Benzenoids	0.630	Phenols	0.352	Halophenols	0.613			Halophenols	0.613	Organic compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Aryl fluorides; Chlorobenzenes; Fluorobenzenes; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Halophenols; Benzenoids; Aryl halides; Vinyl halides; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	218.983	34	0.564	803421367140510376	803421191453689879	41	
1	C6H6ClFO4	[M + Na]+	C6H6ClFNaO4+	Polyketides	0.836	Phenolic acids (C6-C1)	0.224	Simple phenolic acids	0.163	Benzenoids	0.630	Phenols	0.352	Halophenols	0.613			Halophenols	0.613	Organic compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Aryl fluorides; Chlorobenzenes; Fluorobenzenes; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Halophenols; Benzenoids; Aryl halides; Vinyl halides; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	218.983	34	0.564	803421872606063332	803421757958948911	41	
1	C15H28O13	[M + K]+	C15H28KO13+	Carbohydrates	0.989	Saccharides	0.993	Disaccharides	0.994	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.999	Disaccharides	0.866	Disaccharides	0.866	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	455.116	37	0.617	803421370701474734	803421191801817123	113	
1	C15H28O13	[M + K]+	C15H28KO13+	Carbohydrates	0.989	Saccharides	0.993	Disaccharides	0.994	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.999	Disaccharides	0.866	Disaccharides	0.866	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	455.116	37	0.617	803421876309634011	803421758332241979	113	
2	C10H19NO7	[M - H2O + H]+	C10H18NO6+	Carbohydrates	0.913	Aminosugars and aminoglycosides	0.895	Aminosugars	0.942	Organic acids and derivatives	0.926	Carboxylic acids and derivatives	0.942	Amino acids, peptides, and analogues	0.666	Amino acids and derivatives	0.668	Amino acids	0.761	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Dialkylamines; Polyols; Amines; Secondary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	248.112	37	0.617	803421368973421333	803421191915063335	118	
2	C10H19NO7	[M - H2O + H]+	C10H18NO6+	Carbohydrates	0.913	Aminosugars and aminoglycosides	0.895	Aminosugars	0.942	Organic acids and derivatives	0.926	Carboxylic acids and derivatives	0.942	Amino acids, peptides, and analogues	0.666	Amino acids and derivatives	0.668	Amino acids	0.761	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Dialkylamines; Polyols; Amines; Secondary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	248.112	37	0.617	803421873776274239	803421758449682495	118	
1	C10H19NO7	[M + H]+	C10H20NO7+	Carbohydrates	0.923	Aminosugars and aminoglycosides	0.931	Aminosugars	0.967	Organic acids and derivatives	0.968	Carboxylic acids and derivatives	0.971	Amino acids, peptides, and analogues	0.718	Amino acids and derivatives	0.720	Amino acids	0.810	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; C-glycosyl compounds; Dialkylamines; Polyols; Amines; Secondary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	266.123	37	0.619	803421371028630468	803421192032503851	119	
1	C10H19NO7	[M + H]+	C10H20NO7+	Carbohydrates	0.923	Aminosugars and aminoglycosides	0.931	Aminosugars	0.967	Organic acids and derivatives	0.968	Carboxylic acids and derivatives	0.971	Amino acids, peptides, and analogues	0.718	Amino acids and derivatives	0.720	Amino acids	0.810	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; C-glycosyl compounds; Dialkylamines; Polyols; Amines; Secondary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	266.123	37	0.619	803421875806317489	803421758567123011	119	
2	C12H23NO10	[M + H]+	C12H24NO10+	Carbohydrates	0.997	Aminosugars and aminoglycosides	0.979	Aminosugars	0.989	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.990	Sugar acids and derivatives	0.820	Neuraminic acids	0.533	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Sugar acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Neuraminic acids and derivatives; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; C-glycosyl compounds; Polyols; C-glucuronides; Neuraminic acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	342.139	37	0.620	803421365559257643	803421192598734915	100	
2	C12H23NO10	[M + H]+	C12H24NO10+	Carbohydrates	0.997	Aminosugars and aminoglycosides	0.979	Aminosugars	0.989	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.990	Sugar acids and derivatives	0.820	Neuraminic acids	0.533	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Sugar acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Neuraminic acids and derivatives; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; C-glycosyl compounds; Polyols; C-glucuronides; Neuraminic acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	342.139	37	0.620	803421871490378390	803421759196268635	100	
