structurePerIdRank	formulaRank	CSI:FingerIDScore	ModelScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	2	-76.185	-7.236	0.439	0.703	45.557	C9H8O5	[M + Na]+	C9H8NaO5+	AHLBMZOUVKJZQE	InChI=1S/C9H8O5/c10-4-3-5-6(11)1-2-7(12)8(5)9(13)14/h1-4,10-12H,(H,13,14)		O=C(O)c1c(O)ccc(O)c1C=CO	219.027	36	0.608	755805811759203161	755805646646226693	350	
1	2	-76.185	-7.236	0.432	0.703	45.557	C9H8O5	[M + Na]+	C9H8NaO5+	AHLBMZOUVKJZQE	InChI=1S/C9H8O5/c10-4-3-5-6(11)1-2-7(12)8(5)9(13)14/h1-4,10-12H,(H,13,14)		O=C(O)c1c(O)ccc(O)c1C=CO	219.027	36	0.608	755805811541099335	755805501059133264	350	
1	2	-76.185	-7.236	0.436	0.703	45.557	C9H8O5	[M + Na]+	C9H8NaO5+	AHLBMZOUVKJZQE	InChI=1S/C9H8O5/c10-4-3-5-6(11)1-2-7(12)8(5)9(13)14/h1-4,10-12H,(H,13,14)		O=C(O)c1c(O)ccc(O)c1C=CO	219.027	36	0.608	755813314060519276	755813205507732166	350	
1	1	-43.232	-0.025	1.000	1.000	67.245	C6H14N4O2	[M + H]+	C6H15N4O2+	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Harg	C(CC(C(=O)O)N)CN=C(N)N	175.119	37	0.610	755805807556510371	755805507052794044	443	
1	1	-43.232	-0.025	1.000	1.000	67.245	C6H14N4O2	[M + H]+	C6H15N4O2+	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Harg	C(CC(C(=O)O)N)CN=C(N)N	175.119	37	0.610	755805807560704679	755805651863941233	443	
1	1	-43.232	-0.025	1.000	1.000	67.245	C6H14N4O2	[M + H]+	C6H15N4O2+	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Harg	C(CC(C(=O)O)N)CN=C(N)N	175.119	37	0.610	755813308603729584	755813210817721394	443	
1	1	-93.863	-0.420	1.000	1.000	54.991	C5H7NO3	[M + H]+	C5H8NO3+	ODHCTXKNWHHXJC	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)	Pidolic Acid	C1CC(=O)NC1C(=O)O	130.050	37	0.612	755805807283880590	755805647287955249	361	
1	1	-93.863	-0.420	1.000	1.000	54.991	C5H7NO3	[M + H]+	C5H8NO3+	ODHCTXKNWHHXJC	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)	Pidolic Acid	C1CC(=O)NC1C(=O)O	130.050	37	0.612	755805807296463509	755805501793136508	361	
1	1	-93.863	-0.420	1.000	1.000	54.991	C5H7NO3	[M + H]+	C5H8NO3+	ODHCTXKNWHHXJC	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)	Pidolic Acid	C1CC(=O)NC1C(=O)O	130.050	37	0.612	755813308557592233	755813206183015154	361	
1	1	-60.228	-0.141	1.000	1.000	47.375	C5H9NO4	[M + H]+	C5H10NO4+	WHUUTDBJXJRKMK	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)	L-Glu	C(CC(=O)O)C(C(=O)O)N	148.060	37	0.615	755805807552316060	755805500992024396	349	
1	1	-60.228	-0.141	1.000	1.000	47.375	C5H9NO4	[M + H]+	C5H10NO4+	WHUUTDBJXJRKMK	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)	L-Glu	C(CC(=O)O)C(C(=O)O)N	148.060	37	0.615	755805807564898987	755805646587506433	349	
1	1	-60.228	-0.141	1.000	1.000	47.375	C5H9NO4	[M + H]+	C5H10NO4+	WHUUTDBJXJRKMK	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)	L-Glu	C(CC(=O)O)C(C(=O)O)N	148.060	37	0.615	755813308922496694	755813205449011906	349	
1	1	-110.869	-4.879	1.000	1.000	113.014	C11H23NO6	[M + H]+	C11H24NO6+	ZIBRZOCDSJEBTF	InChI=1S/C11H23NO6/c1-11(2,4-12)5-17-10-9(16)8(15)7(14)6(3-13)18-10/h6-10,13-16H,3-5,12H2,1-2H3		CC(C)(CN)COC1OC(CO)C(O)C(O)C1O	266.160	37	0.616	755805809846600450	755805648906956705	390	
1	1	-110.869	-4.879	1.000	1.000	113.014	C11H23NO6	[M + H]+	C11H24NO6+	ZIBRZOCDSJEBTF	InChI=1S/C11H23NO6/c1-11(2,4-12)5-17-10-9(16)8(15)7(14)6(3-13)18-10/h6-10,13-16H,3-5,12H2,1-2H3		CC(C)(CN)COC1OC(CO)C(O)C(O)C1O	266.160	37	0.616	755805810005984013	755805503659601900	390	
1	1	-110.869	-4.879	1.000	1.000	113.014	C11H23NO6	[M + H]+	C11H24NO6+	ZIBRZOCDSJEBTF	InChI=1S/C11H23NO6/c1-11(2,4-12)5-17-10-9(16)8(15)7(14)6(3-13)18-10/h6-10,13-16H,3-5,12H2,1-2H3		CC(C)(CN)COC1OC(CO)C(O)C(O)C1O	266.160	37	0.616	755813312915474243	755813207839765346	390	
1	1	-17.244	-0.084	1.000	1.000	108.507	C6H13N3O3	[M + H]+	C6H14N3O3+	RHGKLRLOHDJJDR	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)	Citrulina	C(CC(C(=O)O)N)CNC(=O)N	176.103	37	0.618	755805807602647737	755805646700752649	351	
1	1	-17.244	-0.084	1.000	1.000	108.507	C6H13N3O3	[M + H]+	C6H14N3O3+	RHGKLRLOHDJJDR	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)	Citrulina	C(CC(C(=O)O)N)CNC(=O)N	176.103	37	0.618	755805818973406280	755805501126242132	351	
1	1	-17.244	-0.084	1.000	1.000	108.507	C6H13N3O3	[M + H]+	C6H14N3O3+	RHGKLRLOHDJJDR	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)	Citrulina	C(CC(C(=O)O)N)CNC(=O)N	176.103	37	0.618	755813309480339156	755813205570646730	351	
