formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C14H16O9	[M + Na]+	C14H16NaO9+	0.234	0.774	7.339	4.481	2.858	0	0.000	-0.235	0.235	-0.235		351.069	36	0.599	755805809603330796	755805702153649777	1378	
1	C14H16O9	[M + Na]+	C14H16NaO9+	0.231	0.774	7.339	4.481	2.858	0	0.000	-0.235	0.235	-0.235		351.069	36	0.599	755805809636885238	755805565592698556	1378	
1	C14H16O9	[M + Na]+	C14H16NaO9+	0.225	0.774	7.339	4.481	2.858	0	0.000	-0.235	0.235	-0.235		351.069	36	0.599	755813311426496253	755813264391569970	1378	
1	C4H10N3O4S	[M + Na]+	C4H10N3NaO4S+	0.561	0.297	44.695	43.342	1.353	12	0.324	2.871	2.878	-8.675		219.027	36	0.608	755805811759203162	755805646646226693	350	
1	C4H10N3O4S	[M + Na]+	C4H10N3NaO4S+	0.568	0.297	44.695	43.342	1.353	12	0.324	2.871	2.878	-8.675		219.027	36	0.608	755805811541099336	755805501059133264	350	
1	C4H10N3O4S	[M + Na]+	C4H10N3NaO4S+	0.564	0.297	44.695	43.342	1.353	12	0.324	2.871	2.878	-8.675		219.027	36	0.608	755813314060519277	755813205507732166	350	
1	C6H14N4O2	[M + H]+	C6H15N4O2+	1.000	1.000	67.245	64.725	2.520	16	0.986	-0.980	1.035	-0.531		175.119	37	0.610	755805807556510371	755805507052794044	443	
1	C6H14N4O2	[M + H]+	C6H15N4O2+	1.000	1.000	67.245	64.725	2.520	16	0.986	-0.980	1.035	-0.531		175.119	37	0.610	755805807560704679	755805651863941233	443	
1	C6H14N4O2	[M + H]+	C6H15N4O2+	1.000	1.000	67.245	64.725	2.520	16	0.986	-0.980	1.035	-0.531		175.119	37	0.610	755813308603729584	755813210817721394	443	
1	C5H7NO3	[M + H]+	C5H8NO3+	1.000	1.000	54.991	52.240	2.751	5	0.532	-1.208	1.461	-1.066		130.050	37	0.612	755805807283880590	755805647287955249	361	
1	C5H7NO3	[M + H]+	C5H8NO3+	1.000	1.000	54.991	52.240	2.751	5	0.532	-1.208	1.461	-1.066		130.050	37	0.612	755805807296463509	755805501793136508	361	
1	C5H7NO3	[M + H]+	C5H8NO3+	1.000	1.000	54.991	52.240	2.751	5	0.532	-1.208	1.461	-1.066		130.050	37	0.612	755813308557592233	755813206183015154	361	
1	C5H9NO4	[M + H]+	C5H10NO4+	1.000	1.000	47.375	44.638	2.737	5	0.989	-1.045	1.107	-0.994		148.060	37	0.615	755805807552316060	755805500992024396	349	
1	C5H9NO4	[M + H]+	C5H10NO4+	1.000	1.000	47.375	44.638	2.737	5	0.989	-1.045	1.107	-0.994		148.060	37	0.615	755805807564898987	755805646587506433	349	
1	C5H9NO4	[M + H]+	C5H10NO4+	1.000	1.000	47.375	44.638	2.737	5	0.989	-1.045	1.107	-0.994		148.060	37	0.615	755813308922496694	755813205449011906	349	
