structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	2	0.014	0.014	-91.200	0.439	0.703	45.557	C9H8O5	[M + Na]+	C9H8NaO5+	IHBDFUVEPKDMKC	InChI=1S/C9H8O5/c1-6(10)13-14-9(12)7-4-2-3-5-8(7)11/h2-5,11H,1H3	Acetyl 2-hydroxybenzenecarboperoxoate	CC(=O)OOC(=O)C1=CC=CC=C1O	1.404	88655442	PUBCHEM:(88655442)	2	219.027	36	0.608	755805811759203161	755805646646226693	350	
1	2	0.014	0.014	-91.200	0.432	0.703	45.557	C9H8O5	[M + Na]+	C9H8NaO5+	IHBDFUVEPKDMKC	InChI=1S/C9H8O5/c1-6(10)13-14-9(12)7-4-2-3-5-8(7)11/h2-5,11H,1H3	Acetyl 2-hydroxybenzenecarboperoxoate	CC(=O)OOC(=O)C1=CC=CC=C1O	1.404	88655442	PUBCHEM:(88655442)	2	219.027	36	0.608	755805811541099335	755805501059133264	350	
1	2	0.014	0.014	-91.200	0.436	0.703	45.557	C9H8O5	[M + Na]+	C9H8NaO5+	IHBDFUVEPKDMKC	InChI=1S/C9H8O5/c1-6(10)13-14-9(12)7-4-2-3-5-8(7)11/h2-5,11H,1H3	Acetyl 2-hydroxybenzenecarboperoxoate	CC(=O)OOC(=O)C1=CC=CC=C1O	1.404	88655442	PUBCHEM:(88655442)	2	219.027	36	0.608	755813314060519276	755813205507732166	350	
1	1	0.958	0.958	-43.232	1.000	1.000	67.245	C6H14N4O2	[M + H]+	C6H15N4O2+	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Harg	C(CC(C(=O)O)N)CN=C(N)N	-1.634	154624364;101002480;17753939;58618352;4473077;161563502;161563501;9793996;9815369;6913512;20798608;155634912;159961799;163358946;87559318;76974066;76974115;76974116;5231987;5246487;5260203;16217519;16217580;16217799;5287702;5460857;5460858;5460860;5460861;160927720;135207570;51037639;51037640;51037641;118099679;118264379;129834582;129850676;134817835;22726443;58203011;124202805;101611381;162642132;162642135;52941769;135705201;59119146;59373188;59373181;59373187;59373199;160448860;140533858;10313339;88031296;89059445;151306026;90938205;153693995;153709895;153712626;54144538;54144539;123552702;131801519;131878490;132276652;1549073;1549104;11321257;140491596;59645172;59667378;88901885;88901889;88901891;88901915;59905797;232;6322;28782;71070;444360;46932130;12205337;117064614;117065487;11770759;122363709;142696383;90472354;164899900;57182507;71308530;71309938;71310245;57616918;57616923;57616939;57616947	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000517 HMDB0003416 HMDB0062762 HMDB0251511 HMDB0303361);MiMeDB:(MMDBc0000112 MMDBc0048340 MMDBc0057189);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(232 1549073 5460861 66250 6322 71070 5287702 5460857);SUPERNATURAL:(SN0262438);HSDB:(74-79-3);MESH:(6322 5287702);FooDB:(FDB002257 FDB011914 FDB023167);PUBCHEM:(154624364 101002480 17753939 58618352 4473077 161563502 161563501 9793996 9815369 6913512 20798608 155634912 159961799 163358946 87559318 76974066 76974115 76974116 5231987 5246487 5260203 16217519 16217580 16217799 5287702 5460857 5460858 5460860 5460861 160927720 135207570 51037639 51037640 51037641 118099679 118264379 129834582 129850676 134817835 22726443 58203011 124202805 101611381 162642132 162642135 52941769 135705201 59119146 59373188 59373181 59373187 59373199 160448860 140533858 10313339 88031296 89059445 151306026 90938205 153693995 153709895 153712626 54144538 54144539 123552702 131801519 131878490 132276652 1549073 1549104 11321257 140491596 59645172 59667378 88901885 88901889 88901891 88901915 59905797 232 6322 28782 71070 444360 46932130 12205337 117064614 117065487 11770759 122363709 142696383 90472354 164899900 57182507 71308530 71309938 71310245 57616918 57616923 57616939 57616947);GNPS:(CCMSLIB00003136581);COCONUT:(CNP0257247);NORMAN:(NS00079284 NS00074187 NS00085581 NS00080232 NS00005927 NS00078080);METACYC:(CPD0-2700 CPD-220);PLANTCYC:(ARG);CHEBI:(32697 15816 32682 31235 29016 32695 32683 32689 192075 32681 32696 16467 32688 32690);KEGG:(C00792 C02385 C00062);DSSTox:(DTXSID00370078 DTXSID10206834 DTXSID10745551 DTXSID201031042 DTXSID20883650 DTXSID30726544 DTXSID30935331 DTXSID40883354 DTXSID50238230 DTXSID6041056 DTXSID60883513 DTXSID80170033 DTXSID8022618);LOTUS:(Q27076987 Q173670 Q27104032);YMDB:(YMDB00592);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(ODKSFYDXXFIFQN-UHFFFAOYSA-N)	139577465726	175.119	37	0.610	755805807556510371	755805507052794044	443	
1	1	0.958	0.958	-43.232	1.000	1.000	67.245	C6H14N4O2	[M + H]+	C6H15N4O2+	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Harg	C(CC(C(=O)O)N)CN=C(N)N	-1.634	154624364;101002480;17753939;58618352;4473077;161563502;161563501;9793996;9815369;6913512;20798608;155634912;159961799;163358946;87559318;76974066;76974115;76974116;5231987;5246487;5260203;16217519;16217580;16217799;5287702;5460857;5460858;5460860;5460861;160927720;135207570;51037639;51037640;51037641;118099679;118264379;129834582;129850676;134817835;22726443;58203011;124202805;101611381;162642132;162642135;52941769;135705201;59119146;59373188;59373181;59373187;59373199;160448860;140533858;10313339;88031296;89059445;151306026;90938205;153693995;153709895;153712626;54144538;54144539;123552702;131801519;131878490;132276652;1549073;1549104;11321257;140491596;59645172;59667378;88901885;88901889;88901891;88901915;59905797;232;6322;28782;71070;444360;46932130;12205337;117064614;117065487;11770759;122363709;142696383;90472354;164899900;57182507;71308530;71309938;71310245;57616918;57616923;57616939;57616947	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000517 HMDB0003416 HMDB0062762 HMDB0251511 HMDB0303361);MiMeDB:(MMDBc0000112 MMDBc0048340 MMDBc0057189);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(232 1549073 5460861 66250 6322 71070 5287702 5460857);SUPERNATURAL:(SN0262438);HSDB:(74-79-3);MESH:(6322 5287702);FooDB:(FDB002257 FDB011914 FDB023167);PUBCHEM:(154624364 101002480 17753939 58618352 4473077 161563502 161563501 9793996 9815369 6913512 20798608 155634912 159961799 163358946 87559318 76974066 76974115 76974116 5231987 5246487 5260203 16217519 16217580 16217799 5287702 5460857 5460858 5460860 5460861 160927720 135207570 51037639 51037640 51037641 118099679 118264379 129834582 129850676 134817835 22726443 58203011 124202805 101611381 162642132 162642135 52941769 135705201 59119146 59373188 59373181 59373187 59373199 160448860 140533858 10313339 88031296 89059445 151306026 90938205 153693995 153709895 153712626 54144538 54144539 123552702 131801519 131878490 132276652 1549073 1549104 11321257 140491596 59645172 59667378 88901885 88901889 88901891 88901915 59905797 232 6322 28782 71070 444360 46932130 12205337 117064614 117065487 11770759 122363709 142696383 90472354 164899900 57182507 71308530 71309938 71310245 57616918 57616923 57616939 57616947);GNPS:(CCMSLIB00003136581);COCONUT:(CNP0257247);NORMAN:(NS00079284 NS00074187 NS00085581 NS00080232 NS00005927 NS00078080);METACYC:(CPD0-2700 CPD-220);PLANTCYC:(ARG);CHEBI:(32697 15816 32682 31235 29016 32695 32683 32689 192075 32681 32696 16467 32688 32690);KEGG:(C00792 C02385 C00062);DSSTox:(DTXSID00370078 DTXSID10206834 DTXSID10745551 DTXSID201031042 DTXSID20883650 DTXSID30726544 DTXSID30935331 DTXSID40883354 DTXSID50238230 DTXSID6041056 DTXSID60883513 DTXSID80170033 DTXSID8022618);LOTUS:(Q27076987 Q173670 Q27104032);YMDB:(YMDB00592);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(ODKSFYDXXFIFQN-UHFFFAOYSA-N)	139577465726	175.119	37	0.610	755805807560704679	755805651863941233	443	
1	1	0.958	0.958	-43.232	1.000	1.000	67.245	C6H14N4O2	[M + H]+	C6H15N4O2+	ODKSFYDXXFIFQN	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Harg	C(CC(C(=O)O)N)CN=C(N)N	-1.634	154624364;101002480;17753939;58618352;4473077;161563502;161563501;9793996;9815369;6913512;20798608;155634912;159961799;163358946;87559318;76974066;76974115;76974116;5231987;5246487;5260203;16217519;16217580;16217799;5287702;5460857;5460858;5460860;5460861;160927720;135207570;51037639;51037640;51037641;118099679;118264379;129834582;129850676;134817835;22726443;58203011;124202805;101611381;162642132;162642135;52941769;135705201;59119146;59373188;59373181;59373187;59373199;160448860;140533858;10313339;88031296;89059445;151306026;90938205;153693995;153709895;153712626;54144538;54144539;123552702;131801519;131878490;132276652;1549073;1549104;11321257;140491596;59645172;59667378;88901885;88901889;88901891;88901915;59905797;232;6322;28782;71070;444360;46932130;12205337;117064614;117065487;11770759;122363709;142696383;90472354;164899900;57182507;71308530;71309938;71310245;57616918;57616923;57616939;57616947	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000517 HMDB0003416 HMDB0062762 HMDB0251511 HMDB0303361);MiMeDB:(MMDBc0000112 MMDBc0048340 MMDBc0057189);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(232 1549073 5460861 66250 6322 71070 5287702 5460857);SUPERNATURAL:(SN0262438);HSDB:(74-79-3);MESH:(6322 5287702);FooDB:(FDB002257 FDB011914 FDB023167);PUBCHEM:(154624364 101002480 17753939 58618352 4473077 161563502 161563501 9793996 9815369 6913512 20798608 155634912 159961799 163358946 87559318 76974066 76974115 76974116 5231987 5246487 5260203 16217519 16217580 16217799 5287702 5460857 5460858 5460860 5460861 160927720 135207570 51037639 51037640 51037641 118099679 118264379 129834582 129850676 134817835 22726443 58203011 124202805 101611381 162642132 162642135 52941769 135705201 59119146 59373188 59373181 59373187 59373199 160448860 140533858 10313339 88031296 89059445 151306026 90938205 153693995 153709895 153712626 54144538 54144539 123552702 131801519 131878490 132276652 1549073 1549104 11321257 140491596 59645172 59667378 88901885 88901889 88901891 88901915 59905797 232 6322 28782 71070 444360 46932130 12205337 117064614 117065487 11770759 122363709 142696383 90472354 164899900 57182507 71308530 71309938 71310245 57616918 57616923 57616939 57616947);GNPS:(CCMSLIB00003136581);COCONUT:(CNP0257247);NORMAN:(NS00079284 NS00074187 NS00085581 NS00080232 NS00005927 NS00078080);METACYC:(CPD0-2700 CPD-220);PLANTCYC:(ARG);CHEBI:(32697 15816 32682 31235 29016 32695 32683 32689 192075 32681 32696 16467 32688 32690);KEGG:(C00792 C02385 C00062);DSSTox:(DTXSID00370078 DTXSID10206834 DTXSID10745551 DTXSID201031042 DTXSID20883650 DTXSID30726544 DTXSID30935331 DTXSID40883354 DTXSID50238230 DTXSID6041056 DTXSID60883513 DTXSID80170033 DTXSID8022618);LOTUS:(Q27076987 Q173670 Q27104032);YMDB:(YMDB00592);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(ODKSFYDXXFIFQN-UHFFFAOYSA-N)	139577465726	175.119	37	0.610	755813308603729584	755813210817721394	443	
1	1	0.955	0.955	-93.863	1.000	1.000	54.991	C5H7NO3	[M + H]+	C5H8NO3+	ODHCTXKNWHHXJC	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)	Pidolic Acid	C1CC(=O)NC1C(=O)O	-0.800	134081798;102601775;76973407;76973951;5289118;7043982;21226158;101602863;102268616;144688319;101958799;140883902;131698836;10534703;499;7405;439685;122222193;142689433;71309033;57536822	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000267);MiMeDB:(MMDBc0000509);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(7405 439685 499 23668602);SUPERNATURAL:(SN0262322);MESH:(499 7405);FooDB:(FDB006738 FDB014506);PUBCHEM:(134081798 102601775 76973407 76973951 5289118 7043982 21226158 101602863 102268616 144688319 101958799 140883902 131698836 10534703 499 7405 439685 122222193 142689433 71309033 57536822);COCONUT:(CNP0206174);NORMAN:(NS00088759 NS00080822 NS00006581 NS00091042 NS00085695 NS00085313 NS00088758 NS00088531 NS00078265 NS00081748);METACYC:(5-OXOPROLINE CPD-656 NRPS-Group);PLANTCYC:(5-OXOPROLINE);CHEBI:(58402 16010 57606 57948 18183 16924);KEGG:(C02237 C01879);DSSTox:(DTXSID10193432 DTXSID20191929 DTXSID20885432 DTXSID40197423 DTXSID40959462 DTXSID50183074 DTXSID50218875 DTXSID6046260 DTXSID60948398 DTXSID80859174);LOTUS:(Q60998677 Q421383 Q27887010);YMDB:(YMDB00107);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(ODHCTXKNWHHXJC-UHFFFAOYSA-N)	139443243390	130.050	37	0.612	755805807283880590	755805647287955249	361	
1	1	0.955	0.955	-93.863	1.000	1.000	54.991	C5H7NO3	[M + H]+	C5H8NO3+	ODHCTXKNWHHXJC	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)	Pidolic Acid	C1CC(=O)NC1C(=O)O	-0.800	134081798;102601775;76973407;76973951;5289118;7043982;21226158;101602863;102268616;144688319;101958799;140883902;131698836;10534703;499;7405;439685;122222193;142689433;71309033;57536822	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000267);MiMeDB:(MMDBc0000509);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(7405 439685 499 23668602);SUPERNATURAL:(SN0262322);MESH:(499 7405);FooDB:(FDB006738 FDB014506);PUBCHEM:(134081798 102601775 76973407 76973951 5289118 7043982 21226158 101602863 102268616 144688319 101958799 140883902 131698836 10534703 499 7405 439685 122222193 142689433 71309033 57536822);COCONUT:(CNP0206174);NORMAN:(NS00088759 NS00080822 NS00006581 NS00091042 NS00085695 NS00085313 NS00088758 NS00088531 NS00078265 NS00081748);METACYC:(5-OXOPROLINE CPD-656 NRPS-Group);PLANTCYC:(5-OXOPROLINE);CHEBI:(58402 16010 57606 57948 18183 16924);KEGG:(C02237 C01879);DSSTox:(DTXSID10193432 DTXSID20191929 DTXSID20885432 DTXSID40197423 DTXSID40959462 DTXSID50183074 DTXSID50218875 DTXSID6046260 DTXSID60948398 DTXSID80859174);LOTUS:(Q60998677 Q421383 Q27887010);YMDB:(YMDB00107);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(ODHCTXKNWHHXJC-UHFFFAOYSA-N)	139443243390	130.050	37	0.612	755805807296463509	755805501793136508	361	
1	1	0.955	0.955	-93.863	1.000	1.000	54.991	C5H7NO3	[M + H]+	C5H8NO3+	ODHCTXKNWHHXJC	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)	Pidolic Acid	C1CC(=O)NC1C(=O)O	-0.800	134081798;102601775;76973407;76973951;5289118;7043982;21226158;101602863;102268616;144688319;101958799;140883902;131698836;10534703;499;7405;439685;122222193;142689433;71309033;57536822	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000267);MiMeDB:(MMDBc0000509);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(7405 439685 499 23668602);SUPERNATURAL:(SN0262322);MESH:(499 7405);FooDB:(FDB006738 FDB014506);PUBCHEM:(134081798 102601775 76973407 76973951 5289118 7043982 21226158 101602863 102268616 144688319 101958799 140883902 131698836 10534703 499 7405 439685 122222193 142689433 71309033 57536822);COCONUT:(CNP0206174);NORMAN:(NS00088759 NS00080822 NS00006581 NS00091042 NS00085695 NS00085313 NS00088758 NS00088531 NS00078265 NS00081748);METACYC:(5-OXOPROLINE CPD-656 NRPS-Group);PLANTCYC:(5-OXOPROLINE);CHEBI:(58402 16010 57606 57948 18183 16924);KEGG:(C02237 C01879);DSSTox:(DTXSID10193432 DTXSID20191929 DTXSID20885432 DTXSID40197423 DTXSID40959462 DTXSID50183074 DTXSID50218875 DTXSID6046260 DTXSID60948398 DTXSID80859174);LOTUS:(Q60998677 Q421383 Q27887010);YMDB:(YMDB00107);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(ODHCTXKNWHHXJC-UHFFFAOYSA-N)	139443243390	130.050	37	0.612	755813308557592233	755813206183015154	361	
1	1	0.993	0.993	-60.228	1.000	1.000	47.375	C5H9NO4	[M + H]+	C5H10NO4+	WHUUTDBJXJRKMK	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)	L-Glu	C(CC(=O)O)C(C(=O)O)N	-1.324	42615584;101073736;101129201;101129202;21575125;14598502;4179667;102602046;4452358;161508770;161508771;161508772;161563496;136719364;136805843;87150909;87206355;50992608;5128032;5147171;16213329;16213424;16213454;16217561;5460297;5460299;5460543;5460544;51037437;51037438;51037439;51037440;129656111;129680450;134775857;4525487;124202791;102283420;102283421;102351656;162641744;56638524;56845125;56845930;56845948;139592947;10057642;10351852;10396980;133188389;89254549;153693928;153693955;153693956;153694003;153694054;153694057;153694058;153694077;153694078;153694112;153694939;153694942;153694943;153695667;153704695;153704696;153708572;153710583;153859038;153859043;54431527;54431528;131667875;131708707;131873974;121494059;166070227;139054390;10582905;88747398;10942598;88901897;611;23327;33032;104813;168158;450555;450602;46932125;91031500;91083019;91158404;12248489;12248490;12248491;12248492;12248499;12248500;12248502;12248503;91466291;11629711;11701061;117064483;117064484;11840951;90324386;90472821;71308417;71308849;71309035;71309130;71309247;71309316;71309505;71309806;71310326;44272391;57397101;57607968;57607970;57607971;57607976;57616920;132594196;132594197;138397024	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000148 HMDB0003339 HMDB0060475 HMDB0303331);MiMeDB:(MMDBc0000044 MMDBc0000233 MMDBc0049926);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(23669634 5460544 4525487 23696295 23666328 20625617 23672308 611 23676143 23327 167560 33032 5128032 14598502 104813 2723891 23689119 168185 5460299 11840951 5147171);SUPERNATURAL:(SN0410674);HSDB:(56-86-0 142-47-2);MESH:(611 23327 33032 104813 4525487 5128032 5147171 5460299 5460544 11840951 14598502);FooDB:(FDB010881 FDB012534 FDB012535 FDB012536 FDB020321 FDB020322 FDB023148);PUBCHEM:(42615584 101073736 101129201 101129202 21575125 14598502 4179667 102602046 4452358 161508770 161508771 161508772 161563496 136719364 136805843 87150909 87206355 50992608 5128032 5147171 16213329 16213424 16213454 16217561 5460297 5460299 5460543 5460544 51037437 51037438 51037439 51037440 129656111 129680450 134775857 4525487 124202791 102283420 102283421 102351656 162641744 56638524 56845125 56845930 56845948 139592947 10057642 10351852 10396980 133188389 89254549 153693928 153693955 153693956 153694003 153694054 153694057 153694058 153694077 153694078 153694112 153694939 153694942 153694943 153695667 153704695 153704696 153708572 153710583 153859038 153859043 54431527 54431528 131667875 131708707 131873974 121494059 166070227 139054390 10582905 88747398 10942598 88901897 611 23327 33032 104813 168158 450555 450602 46932125 91031500 91083019 91158404 12248489 12248490 12248491 12248492 12248499 12248500 12248502 12248503 91466291 11629711 11701061 117064483 117064484 11840951 90324386 90472821 71308417 71308849 71309035 71309130 71309247 71309316 71309505 71309806 71310326 44272391 57397101 57607968 57607970 57607971 57607976 57616920 132594196 132594197 138397024);GNPS:(CCMSLIB00003136450);COCONUT:(CNP0191057);NORMAN:(NS00079675 NS00083916 NS00078157 NS00101929 NS00083151 NS00008008 NS00085269 NS00090198 NS00103924 NS00068393 NS00102743 NS00095129 NS00084410 NS00103915 NS00083623 NS00087601 NS00081995 NS00079353 NS00085818 NS00086898 NS00103919);METACYC:(CPD1UA-10 D-GLT GLT SMA-0000119 SMA-0000465);PLANTCYC:(|Glutamates| GLT);CHEBI:(29985 16015 15966 29986 53374 53375 192079 29987 76051 18237 91250 14321 29988 29989 53373);KEGG:(C00217 C00025 C00302);DSSTox:(DTXSID0046987 DTXSID0047240 DTXSID00718658 DTXSID00894749 DTXSID00947486 DTXSID10201622 DTXSID1048675 DTXSID10609164 DTXSID10745490 DTXSID10904303 DTXSID201315375 DTXSID20219995 DTXSID20583941 DTXSID20718716 DTXSID3047714 DTXSID30482294 DTXSID4020905 DTXSID5020659 DTXSID5049239 DTXSID6044228 DTXSID6047155 DTXSID60583965 DTXSID60946854 DTXSID70186067 DTXSID70935774 DTXSID70980401 DTXSID80449110 DTXSID80911827 DTXSID80971062 DTXSID9020906 DTXSID90214659 DTXSID90482295 DTXSID90930645);LOTUS:(Q26995161 Q181136 Q27077040);YMDB:(YMDB00271);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(WHUUTDBJXJRKMK-UHFFFAOYSA-N)	139577465726	148.060	37	0.615	755805807552316060	755805500992024396	349	
