structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	1	-Infinity	-Infinity	-95.755	0.999	0.999	72.632	C6H6ClFO4	[M + Na]+	C6H6ClFNaO4+	AJCUMQPQZHKTHX	InChI=1S/C6H6ClFO4/c1-11-5(9)3(7)4(8)6(10)12-2/h1-2H3	dimethyl (E)-2-chloro-3-fluorobut-2-enedioate	COC(=O)C(=C(C(=O)OC)Cl)F	1.400	23260904	PUBCHEM:(23260904)	2	218.983	34	0.564	803421367140510376	803421191453689879	41	
1	1	-Infinity	-Infinity	-95.755	1.000	0.999	72.632	C6H6ClFO4	[M + Na]+	C6H6ClFNaO4+	AJCUMQPQZHKTHX	InChI=1S/C6H6ClFO4/c1-11-5(9)3(7)4(8)6(10)12-2/h1-2H3	dimethyl (E)-2-chloro-3-fluorobut-2-enedioate	COC(=O)C(=C(C(=O)OC)Cl)F	1.400	23260904	PUBCHEM:(23260904)	2	218.983	34	0.564	803421872606063332	803421757958948911	41	
1	1	0.342	0.342	-86.726	0.601	0.010	19.622	C15H28O13	[M + K]+	C15H28KO13+	QVVMHULEFZHJIS	InChI=1S/C15H28O13/c16-1-5(26-15-13(24)11(22)9(20)7(3-18)28-15)4-25-14-12(23)10(21)8(19)6(2-17)27-14/h5-24H,1-4H2	(2R,3S,4S,5R)-2-(hydroxymethyl)-6-[3-hydroxy-2-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropoxy]oxane-3,4,5-triol	C(C1C(C(C(C(O1)OCC(CO)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O	-4.900	91847313;91856992;91862772;54249633	CHEBI:(151585 155391);PUBCHEM:(91847313 91856992 91862772 54249633);PUBMED:(null)	98	455.116	37	0.617	803421370701474734	803421191801817123	113	
1	1	0.342	0.342	-86.726	0.599	0.010	19.622	C15H28O13	[M + K]+	C15H28KO13+	QVVMHULEFZHJIS	InChI=1S/C15H28O13/c16-1-5(26-15-13(24)11(22)9(20)7(3-18)28-15)4-25-14-12(23)10(21)8(19)6(2-17)27-14/h5-24H,1-4H2	(2R,3S,4S,5R)-2-(hydroxymethyl)-6-[3-hydroxy-2-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropoxy]oxane-3,4,5-triol	C(C1C(C(C(C(O1)OCC(CO)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O	-4.900	91847313;91856992;91862772;54249633	CHEBI:(151585 155391);PUBCHEM:(91847313 91856992 91862772 54249633);PUBMED:(null)	98	455.116	37	0.617	803421876309634011	803421758332241979	113	
1	2	0.700	0.700	-51.307	0.097	0.333	188.711	C10H19NO7	[M - H2O + H]+	C10H18NO6+	HUEOABWGBTXQNF	InChI=1S/C10H19NO7/c12-4-6-8(15)9(16)10(17,18-6)5-11-3-1-2-7(13)14/h6,8-9,11-12,15-17H,1-5H2,(H,13,14)	4-({[2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl}amino)butanoic acid	C(CC(=O)O)CNCC1(C(C(C(O1)CO)O)O)O	-4.500	162995774;131752417	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0269132);HMDB:(HMDB0038663);CHEBI:(138790);SUPERNATURAL:(SN0135540);FooDB:(FDB018062);PUBCHEM:(162995774 131752417)	556793898	248.112	37	0.617	803421368973421333	803421191915063335	118	
1	2	0.700	0.700	-51.307	0.088	0.333	188.711	C10H19NO7	[M - H2O + H]+	C10H18NO6+	HUEOABWGBTXQNF	InChI=1S/C10H19NO7/c12-4-6-8(15)9(16)10(17,18-6)5-11-3-1-2-7(13)14/h6,8-9,11-12,15-17H,1-5H2,(H,13,14)	4-({[2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl}amino)butanoic acid	C(CC(=O)O)CNCC1(C(C(C(O1)CO)O)O)O	-4.500	162995774;131752417	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0269132);HMDB:(HMDB0038663);CHEBI:(138790);SUPERNATURAL:(SN0135540);FooDB:(FDB018062);PUBCHEM:(162995774 131752417)	556793898	248.112	37	0.617	803421873776274239	803421758449682495	118	
1	1	0.804	0.804	-48.190	0.974	0.500	214.457	C10H19NO7	[M + H]+	C10H20NO7+	HUEOABWGBTXQNF	InChI=1S/C10H19NO7/c12-4-6-8(15)9(16)10(17,18-6)5-11-3-1-2-7(13)14/h6,8-9,11-12,15-17H,1-5H2,(H,13,14)	4-({[2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl}amino)butanoic acid	C(CC(=O)O)CNCC1(C(C(C(O1)CO)O)O)O	-4.500	162995774;131752417	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0269132);HMDB:(HMDB0038663);CHEBI:(138790);SUPERNATURAL:(SN0135540);FooDB:(FDB018062);PUBCHEM:(162995774 131752417)	556793898	266.123	37	0.619	803421371028630468	803421192032503851	119	
1	1	0.804	0.804	-48.190	0.976	0.500	214.457	C10H19NO7	[M + H]+	C10H20NO7+	HUEOABWGBTXQNF	InChI=1S/C10H19NO7/c12-4-6-8(15)9(16)10(17,18-6)5-11-3-1-2-7(13)14/h6,8-9,11-12,15-17H,1-5H2,(H,13,14)	4-({[2,3,4-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl}amino)butanoic acid	C(CC(=O)O)CNCC1(C(C(C(O1)CO)O)O)O	-4.500	162995774;131752417	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0269132);HMDB:(HMDB0038663);CHEBI:(138790);SUPERNATURAL:(SN0135540);FooDB:(FDB018062);PUBCHEM:(162995774 131752417)	556793898	266.123	37	0.619	803421875806317489	803421758567123011	119	
1	2	0.075	0.075	-102.250	0.213	0.386	21.062	C12H23NO10	[M + H]+	C12H24NO10+	IGOUFHBPYLCDRJ	InChI=1S/C12H23NO10/c13-5-10(7(17)4(2-15)21-11(5)20)23-12-9(19)8(18)6(16)3(1-14)22-12/h3-12,14-20H,1-2,13H2	2-{[3-amino-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol	C(C1C(C(C(C(O1)O)N)OC2C(C(C(C(O2)CO)O)O)O)O)O	-4.400	20705981;162996674;89626703;91856535;91861991;91862027;123723726;59973646;117634737	COCONUT:(CNP0270088);CHEBI:(147221 152182);SUPERNATURAL:(SN0145086);PUBCHEM:(20705981 162996674 89626703 91856535 91861991 91862027 123723726 59973646 117634737)	3145762	342.139	37	0.620	803421365559257643	803421192598734915	100	
1	2	0.075	0.075	-102.250	0.205	0.386	21.062	C12H23NO10	[M + H]+	C12H24NO10+	IGOUFHBPYLCDRJ	InChI=1S/C12H23NO10/c13-5-10(7(17)4(2-15)21-11(5)20)23-12-9(19)8(18)6(16)3(1-14)22-12/h3-12,14-20H,1-2,13H2	2-{[3-amino-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol	C(C1C(C(C(C(O1)O)N)OC2C(C(C(C(O2)CO)O)O)O)O)O	-4.400	20705981;162996674;89626703;91856535;91861991;91862027;123723726;59973646;117634737	COCONUT:(CNP0270088);CHEBI:(147221 152182);SUPERNATURAL:(SN0145086);PUBCHEM:(20705981 162996674 89626703 91856535 91861991 91862027 123723726 59973646 117634737)	3145762	342.139	37	0.620	803421871490378390	803421759196268635	100	
