Feature,Comp1_Loading,Comp2_Loading
267.9099_0.4145,0.023144680637701982,0.019001831297428
323.89965_0.4153,0.026683163046774955,0.010686590073054674
225.00126_0.4148,0.016421158081814935,0.0145105945168293
210.96159_0.4217,0.02953758797319822,0.014497260546429417
266.95142_0.4211,0.028623137068050298,0.016316157961028598
195.96748_0.4191,0.026792587986796543,4.8724449604458113e-4
228.95963_0.4229,-0.005471898740963249,-0.014355174525243423
238.95653_0.4224,0.02875345311904962,0.01054020654070947
180.98147_0.4294,0.024508212232016397,0.011137222747823191
264.96277_0.4382,0.013928017991286856,0.020580447821184667
210.94932_0.4247,0.003974243681410274,-3.395795615780721e-4
236.96786_0.4289,0.022273757803615072,0.01697589296007476
266.96022_0.4295,0.016639525866576334,0.019101847100644817
238.96544_0.4301,0.01701745547026148,0.013365887300082301
332.93757_0.4378,0.018331162939952888,0.023428107682894
252.99613_0.4148,0.01673577257779003,0.014204486129129619
289.94845_0.447,0.00776811000799978,-0.006945097274851956
291.94585_0.4494,0.005472891118764754,-0.0011767068698811539
290.94943_0.4506,0.006986240678323115,-5.776579647131096e-4
246.96093_0.4505,-0.005898060914245688,0.02571666075658
389.93706_0.4517,-0.021408934959542186,-0.0020902910828149222
275.95663_0.4517,-0.012088917533342463,0.0246623394736583
114.98846_0.4518,-0.013595448708195755,0.008980711256916844
159.97889_0.4518,-0.01753186147760411,0.01976185616806016
247.96158_0.4676,0.02132363922646809,-0.008557723446304115
386.93871_0.4523,-0.022316263541695087,-0.0013500175239740215
272.95851_0.4529,-0.013551047938372076,0.02260954472205034
274.95588_0.4529,-0.013550497691486476,0.022012718245261294
387.93988_0.4529,-0.022890885218426908,0.0023033620020416422
388.93593_0.4529,-0.0236643813912236,0.0013086194364810527
472.92382_0.4529,-0.020917336790403213,-0.008777637218686669
501.9201_0.4534,-0.02597049068137654,-0.015390322119362167
500.9189_0.4546,-0.024794716752475493,-0.014703075352131575
502.91685_0.4546,-0.026618937692290328,-0.006003370364154956
516.89611_0.4564,-0.007493935553911926,0.04438250775107219
403.91726_0.4571,-0.004377934384318716,0.04521786593785781
404.91305_0.4589,-0.004664998216718208,0.045549450858938634
402.91602_0.4595,-0.004180744042296971,0.045594790556115025
289.93727_0.4626,-0.001562961111884887,0.044262084765815765
290.93338_0.4626,-0.0011397544485780605,0.04326696753217249
288.93589_0.4632,7.063258112113434e-4,0.04350332526404402
418.89358_0.4637,0.002013643916679005,0.04354859684052173
362.9404_0.4865,-3.4132034787241327e-4,-0.03738025630087272
227.96605_0.4865,-0.0021533583439024683,-0.014430305448303109
228.96314_0.4865,-0.006865950671277645,-0.029820006599336764
294.95287_0.4841,0.006105017153948201,-0.03797520998938678
173.10392_0.4928,0.008469240941393437,0.03804849136867402
242.939_0.4934,-0.0028196707036545567,0.029842070367012287
243.93994_0.4916,5.397462003734203e-4,0.02027171473190128
244.93721_0.4909,0.002707414871945515,0.019324146903969965
378.91423_0.4878,0.0034902745302747705,-0.04172525851855365
310.92684_0.4909,-0.003714126581569555,-0.027234894326117292
462.87576_0.4915,2.000943819982675e-4,-0.031543513985109774
412.86019_0.5009,0.0019451830346923695,0.047210205022654494
328.8982_0.4978,-0.002356181556043227,0.041831750105678134
410.86247_0.5009,-0.0024337820733905603,0.0444773672210757
478.84983_0.5016,-0.007871701697353519,0.009846128320696918
426.83866_0.5059,-0.012196896360416296,0.042863354074380716
468.89593_0.5078,-0.001091127516772099,-0.038902758012090186
552.85726_0.5071,-5.761570018865958e-4,-0.040378538810687155
275.90534_0.4371,0.010001091479502155,0.01958630292963705
342.87769_0.5059,0.0012778778650451752,0.017990428937135382
484.86988_0.5133,-7.587644821842168e-4,-0.043498980140971984
400.9086_0.5133,-2.986126278968369e-4,-0.04196901324625736
636.81859_0.5121,-3.818352762856028e-4,-0.04353823883519391
416.8826_0.5146,-5.320941583283888e-4,-0.04413019044439705
568.83106_0.5152,-7.643661772860411e-4,-0.04389637918486768
500.84391_0.5152,-0.0011913481027457096,-0.04404598517351336
584.80504_0.5152,-0.001247236309997873,-0.039131295336848934
130.95734_0.5158,0.01104002240997246,0.05018834538509642
264.93383_0.5158,-3.029520449995529e-4,-0.042622084068753646
348.89517_0.5158,0.0012608905307730609,-0.03607408141693439
