Feature,Comp1_Loading,Comp2_Loading
267.9099_0.4145,4.1476773336955624e-4,0.0011091513239418487
323.89965_0.4153,5.666722723364496e-4,3.3003173375427105e-4
225.00126_0.4148,6.803739055335163e-4,0.001722864748683082
210.96159_0.4217,4.6156138099548135e-4,6.069383796375153e-4
266.95142_0.4211,5.09953946731527e-4,7.842309911203408e-4
195.96748_0.4191,0.0011347338600345741,9.981200863771933e-4
228.95963_0.4229,-1.3767961490313376e-4,-2.165254325995419e-4
238.95653_0.4224,9.458657240606487e-4,0.0011374025496600458
180.98147_0.4294,4.888941414195841e-4,0.0010021046572239378
264.96277_0.4382,0.0015341338618545452,0.0033635740573028034
210.94932_0.4247,2.3267514966796417e-4,-1.488558871765292e-4
236.96786_0.4289,5.397208309421011e-4,0.0011347084515927353
266.96022_0.4295,8.946714923362673e-5,4.1319459192990714e-4
238.96544_0.4301,5.292809703945644e-5,1.296566292657093e-4
332.93757_0.4378,8.072063405374044e-4,0.0028793066090687987
252.99613_0.4148,0.001446077926206888,0.0034900380287054764
289.94845_0.447,8.103678536773847e-4,6.978848632777847e-4
291.94585_0.4494,1.6956440058717308e-4,6.662645744389653e-5
290.94943_0.4506,2.0130481967336707e-4,3.223507303967143e-4
246.96093_0.4505,-1.623595290049496e-4,7.354954487857108e-4
389.93706_0.4517,-6.735249366464889e-4,-4.0184105352285125e-4
275.95663_0.4517,-5.585334239021925e-4,8.505069485486882e-4
114.98846_0.4518,-0.0015633825686234076,0.0014878000642090244
159.97889_0.4518,-0.0023534372239321813,0.002150462474828394
247.96158_0.4676,5.968808440808387e-4,-6.775492188950941e-4
386.93871_0.4523,-0.006227628295705525,-0.003136308870485045
272.95851_0.4529,-0.02033039001265011,0.028522532627036204
274.95588_0.4529,-0.005068259872617236,0.007174917556022636
387.93988_0.4529,-0.002666167564817832,-9.129319115395528e-4
388.93593_0.4529,-0.002812939585765835,-0.0011054778256337856
472.92382_0.4529,-8.603219287424995e-4,-9.204251574060912e-4
501.9201_0.4534,-0.001294370981372058,-9.85972781832892e-4
500.9189_0.4546,-0.0021851021444665455,-0.002134209891347974
502.91685_0.4546,-0.0014374835944533635,-9.722317727616324e-4
516.89611_0.4564,-0.002070081417472309,0.007425049114881987
403.91726_0.4571,-0.0014286996200865638,0.007125221148015001
404.91305_0.4589,-0.0013021226816705561,0.00638481585545921
402.91602_0.4595,-0.004594573162693137,0.02362777251116016
289.93727_0.4626,-6.694139520161253e-4,0.004989718221281591
290.93338_0.4626,-6.790181974540961e-4,0.004859204335571538
288.93589_0.4632,-0.0037817734915927986,0.0400027301939934
418.89358_0.4637,-3.002516134324764e-4,0.004952997892081462
362.9404_0.4865,3.077763511913549e-4,-0.0034877913458617005
227.96605_0.4865,1.2460548127363477e-5,-8.811071007017458e-4
228.96314_0.4865,-5.839970154764402e-4,-8.363959142653216e-4
294.95287_0.4841,0.0017297554627611397,-0.005208491500494525
173.10392_0.4928,6.329516234367533e-4,0.005069946931157191
242.939_0.4934,-6.219725185383289e-4,0.004633296064385745
243.93994_0.4916,-8.919288777171628e-6,5.910781151620548e-4
244.93721_0.4909,3.0782794895848515e-6,8.472619328951096e-4
378.91423_0.4878,9.86616152113712e-4,-0.005642330234593633
310.92684_0.4909,-3.035002579709999e-4,-0.004205260354787199
462.87576_0.4915,1.0174737258423571e-4,-0.0010566202404586212
412.86019_0.5009,-1.4562435583837373e-4,0.0019992812930999335
328.8982_0.4978,-2.458711678145671e-4,0.0011882962696230573
410.86247_0.5009,-0.0010208690049504762,0.005228747833981811
478.84983_0.5016,-3.480803737928497e-4,2.1846061168029053e-4
426.83866_0.5059,-3.981126044609008e-4,8.387751713978956e-4
468.89593_0.5078,2.9483920231950776e-5,-0.0018644376390437132
552.85726_0.5071,7.375433808009894e-5,-0.002196420543854416
275.90534_0.4371,0.001663787166506706,4.8709637996471666e-4
342.87769_0.5059,-1.427717011453723e-4,0.0011993214438194126
484.86988_0.5133,2.416835212741587e-4,-0.0045209449503783505
400.9086_0.5133,2.105260314352746e-4,-0.0036940753089605947
636.81859_0.5121,1.2425431272646497e-4,-0.0021974516100895926
416.8826_0.5146,4.473341414338948e-4,-0.005248373168537926
568.83106_0.5152,2.6124037675380566e-4,-0.0036530949979082833
500.84391_0.5152,4.49450307622979e-4,-0.004983372432526906
584.80504_0.5152,2.943644479664641e-4,-0.0027236017279065818
130.95734_0.5158,2.5604342029192487e-4,0.0018915385553249175
264.93383_0.5158,0.0011573489752657689,-0.010765086867483115
348.89517_0.5158,0.0010784856667428078,-0.0054791450101068714
332.92134_0.5158,6.787822422780061e-4,-0.009036820105824258
298.87964_0.5164,2.3175557537027716e-4,0.002633157557191467
128.9593_0.5164,0.004070821533659728,0.023715327635685287
196.94648_0.5164,7.39573307282613e-4,0.0010321527565628932
212.92048_0.5164,4.133365194219242e-4,0.003382924301888074
280.90775_0.5164,0.0013763127260646173,0.005182048831896481
296.88165_0.5164,0.0012938272314695503,0.012380712844093575
364.86899_0.5164,9.096437229292682e-4,0.006295596093231815
366.86688_0.5164,1.7805636290049438e-4,0.001246696178018104
380.84305_0.5164,7.395661011790722e-4,0.008442587193375352
432.85635_0.5164,4.1305228597342253e-4,-0.0019673536448075765
448.83038_0.5164,6.206348279140723e-4,0.004296613121564814
652.79262_0.5165,2.7812147228860974e-4,-0.0028990151328398
516.81755_0.5164,3.1427596808108804e-4,-3.389350406976634e-4
532.79157_0.5164,3.50654079103189e-4,0.0047929798046614965
464.80416_0.5164,3.691225760707407e-4,0.0043043441661378
600.77905_0.5164,3.3843881060641954e-4,9.260202208958192e-4
616.75289_0.5164,2.57947217507475e-4,0.0036650738570198804
684.74038_0.5164,1.6136058676683828e-4,0.001456215023829472
440.88141_0.5012,-8.314109888632485e-5,0.0020338395567040517
403.84818_0.5352,1.2996761149427587e-5,9.229049910551267e-4
381.86083_0.5301,-2.943054672283242e-5,-5.352913956615256e-4
424.90734_0.519,-3.972889111542199e-4,-1.858718798661505e-4
508.86856_0.5266,6.925518550078246e-5,3.052110810806538e-5
273.95976_0.4523,-0.005144776817971484,0.00942451472045865
387.87441_0.5439,-2.194950263059414e-4,-3.3070641427210875e-4
456.85816_0.5241,-5.543136532161026e-5,4.3500563307754256e-4
270.89983_0.542,6.217704271781965e-5,-5.826470870006709e-4
427.85402_0.5326,-5.459252470450774e-5,-4.666364957783696e-5
134.04697_0.5843,4.6440903421838235e-4,0.001165566396262996
180.9306_0.5714,1.2175022664321786e-4,4.189868304147784e-4
175.96827_0.5601,-1.783043299588995e-4,3.959556447952643e-4
244.96341_0.4512,-8.988218932473871e-4,0.0021861732273433365
202.02037_0.591,-4.136538263016286e-4,-7.514468998295905e-4
229.02266_0.5947,2.9449916748773184e-4,0.004752397087038107
213.04885_0.5947,-8.856649706099559e-4,0.006427915947115712
229.01417_0.5949,-2.3573565995057876e-5,2.648654540814679e-4
230.03893_0.6524,1.674220851195394e-4,-8.189698470974405e-4
202.01208_0.6001,4.818868147898656e-5,-3.408169262686269e-4
329.0863_0.6038,0.0032205183771705733,0.013865853339628417
104.0351_0.6063,0.008796767919666966,-0.019578478950754836
272.08589_0.602,0.0014063579902398894,-0.0048561432628598505
313.11279_0.6038,0.005501264529353755,0.0020206455727741837
299.0968_0.6057,0.003612404786594521,0.0016922428229350767
131.08226_0.6081,-1.5957392809825733e-4,7.345750725428857e-4
127.05102_0.6081,0.007053787959866748,0.012664712336967414
145.06153_0.6081,0.0777301123511604,0.11777830313781942
118.05072_0.6087,0.010603436591182203,-0.021442727117715655
131.04586_0.6087,0.023384835401324047,0.00798660682221602
315.07002_0.6081,0.0017416127959036562,0.003898926328800754
330.07031_0.6098,8.014248779278131e-4,0.006820694576503747
173.09267_0.5983,0.043159226650150095,-0.021851509898391873
314.09644_0.6115,5.635925459194065e-4,0.0020498490847248923
133.05021_0.8899,-4.7171773679651885e-5,-0.001057760405778751
369.01027_0.6173,-3.276554283419922e-4,0.0013758892708237245
