feature,log2FC,padj,Expression
267.9099_0.4145,-0.018914746571133276,0.7088924718828387,Not significant
323.89965_0.4153,0.06900306173157568,0.9796784278492063,Not significant
225.00126_0.4148,-0.018914746571133276,0.7088924718828387,Not significant
210.96159_0.4217,0.10616512029336997,0.5987180383920779,Not significant
266.95142_0.4211,0.0650469486564172,0.7528913943506255,Not significant
195.96748_0.4191,0.6792814383782583,0.4546817885371049,Not significant
228.95963_0.4229,10.663935355071198,0.534974011909757,Not significant
238.95653_0.4224,0.17538530594437193,0.40194815280225643,Not significant
180.98147_0.4294,0.09034049626420596,0.40194815280225643,Not significant
264.96277_0.4382,-0.21363077802847272,0.4875834659313741,Not significant
210.94932_0.4247,-0.12483781493184118,0.8129001753030055,Not significant
236.96786_0.4289,-0.015736683035508365,0.790680534954974,Not significant
266.96022_0.4295,-0.02712992498720544,0.7336208676656703,Not significant
238.96544_0.4301,-0.04151235593932241,0.7158967540152561,Not significant
332.93757_0.4378,-0.014349358989531545,0.7612459483344786,Not significant
252.99613_0.4148,-0.018914746571133276,0.7088924718828387,Not significant
289.94845_0.447,0.026869806898711563,0.7232211653991238,Not significant
291.94585_0.4494,-0.0063345824774103205,0.9330126984788889,Not significant
290.94943_0.4506,0.02001542979962847,0.7677586395215948,Not significant
246.96093_0.4505,-0.0722385581850378,0.42815030496358847,Not significant
389.93706_0.4517,0.0069759858666843125,0.9286727185988234,Not significant
275.95663_0.4517,-0.05311092150288668,0.4319191893254779,Not significant
114.98846_0.4518,0.01712302554913882,0.7502497457221323,Not significant
159.97889_0.4518,-0.04562856673251352,0.4656221818194843,Not significant
247.96158_0.4676,-0.09570858405638971,0.4301281147777179,Not significant
386.93871_0.4523,-0.001579650277870603,0.984000237381148,Not significant
272.95851_0.4529,-0.032152539460289266,0.6909080979380362,Not significant
274.95588_0.4529,-0.02672580812076266,0.7088924718828387,Not significant
387.93988_0.4529,-0.01827098117004876,0.8092082257703788,Not significant
388.93593_0.4529,-0.015044328557463772,0.8581335689823028,Not significant
472.92382_0.4529,0.007433042479922271,0.9402375532756957,Not significant
501.9201_0.4534,0.0485033964200764,0.6184270583767472,Not significant
500.9189_0.4546,0.03790079601000103,0.7088924718828387,Not significant
502.91685_0.4546,-0.0066553570097608525,0.9398579762137367,Not significant
516.89611_0.4564,-0.28148231157176573,0.170672552168631,Not significant
403.91726_0.4571,-0.3493821812924666,0.14155526349878106,Not significant
404.91305_0.4589,-0.34735499754950316,0.12856221076052765,Not significant
402.91602_0.4595,-0.33027405194488796,0.12461885422076603,Not significant
289.93727_0.4626,-0.40455489587828314,0.12318419170566836,Not significant
290.93338_0.4626,-0.3429279133523481,0.15885144702332674,Not significant
288.93589_0.4632,-0.35347264611248796,0.1569380115002516,Not significant
418.89358_0.4637,-0.747720042672615,0.14707214406828392,Not significant
362.9404_0.4865,0.7566130657467849,0.4316323301097026,Not significant
227.96605_0.4865,0.01075186870818207,0.9683951859570991,Not significant
228.96314_0.4865,0.4336767339646965,0.20607210287250874,Not significant
294.95287_0.4841,0.8866900983591511,0.19472961838637076,Not significant
173.10392_0.4928,-0.4439425700872409,0.4707612474360689,Not significant
242.939_0.4934,-0.34225816714444796,0.3105816124539801,Not significant
243.93994_0.4916,-0.05728575493468151,0.8710653913087621,Not significant
244.93721_0.4909,-0.1308310346944313,0.7470404787372857,Not significant
378.91423_0.4878,0.6138267222073699,0.22820079607659977,Not significant
310.92684_0.4909,0.3619812549599237,0.3024483103162708,Not significant
462.87576_0.4915,0.379037732735529,0.20984611058885244,Not significant
412.86019_0.5009,-0.36537483474050575,0.08251338892286621,Not significant
328.8982_0.4978,-0.33269467870557834,0.141117498149888,Not significant
410.86247_0.5009,-0.37251507282966667,0.08251338892286621,Not significant
478.84983_0.5016,-0.07593139066730129,0.7505565923465114,Not significant
426.83866_0.5059,-0.4314397175122353,0.01374719399172587,Not significant
468.89593_0.5078,1.8200568555450767,0.36822484861161403,Not significant
552.85726_0.5071,1.672070306406591,0.3367830359197995,Not significant
275.90534_0.4371,-0.228556923474394,0.35764488122102484,Not significant
342.87769_0.5059,-0.11996020465795831,0.7242652040307743,Not significant
484.86988_0.5133,1.0700908121587638,0.28197737902262554,Not significant
400.9086_0.5133,1.33645341577606,0.3114449702832769,Not significant
636.81859_0.5121,1.368773493737129,0.28197737902262554,Not significant
416.8826_0.5146,0.5702364488264051,0.2449141649509547,Not significant
568.83106_0.5152,0.8243451245646498,0.26378598312463775,Not significant
500.84391_0.5152,0.4058602065086267,0.20512850142882555,Not significant
584.80504_0.5152,0.26316063720587585,0.23629506473494186,Not significant
130.95734_0.5158,-0.30445272515602945,0.04020097804698885,Not significant
264.93383_0.5158,0.2972770077475029,0.23231091595399875,Not significant
348.89517_0.5158,0.17103159773560578,0.3105816124539801,Not significant
332.92134_0.5158,0.7305359399906926,0.2604284374773962,Not significant
298.87964_0.5164,-0.5845472815988457,0.03891874188023166,Not significant
128.9593_0.5164,-0.26070780703040114,0.07945765965209878,Not significant
196.94648_0.5164,-0.07731485914740761,0.2992810322131967,Not significant
212.92048_0.5164,-0.48718007087034065,0.03772287378709051,Not significant
280.90775_0.5164,-0.15996591969765847,0.09881797288410187,Not significant
296.88165_0.5164,-0.5413185383141109,0.04087718423638653,Not significant
364.86899_0.5164,-0.2678612905766297,0.05103438232022408,Not significant
366.86688_0.5164,-0.23529677179226527,0.07945765965209878,Not significant
380.84305_0.5164,-0.6207391544684786,0.04046673862931378,Not significant
432.85635_0.5164,0.08832378348480438,0.4546817885371049,Not significant
448.83038_0.5164,-0.3603829364383126,0.04229644607314502,Not significant
652.79262_0.5165,0.6434993947060819,0.23231091595399875,Not significant
