feature,log2FC,padj,Expression
267.9099_0.4145,12.403782300400204,0.04067996709288598,Up-regulated
323.89965_0.4153,2.90371463349945,0.0247857113503459,Up-regulated
225.00126_0.4148,13.012431547419338,0.20493919835221974,Not significant
210.96159_0.4217,0.7665591442072129,0.006082047349446856,Not significant
266.95142_0.4211,0.7784581550145261,0.006741144137517229,Not significant
195.96748_0.4191,1.526714472165474,0.006515736443090831,Up-regulated
228.95963_0.4229,-0.07304558246977036,0.17847223564596623,Not significant
238.95653_0.4224,0.8001455686748652,0.005738247585468715,Not significant
180.98147_0.4294,0.3969291294196295,0.025903760182029115,Not significant
264.96277_0.4382,0.15354484537939989,0.12212042447144837,Not significant
210.94932_0.4247,-8.778349177563604e-4,0.9982168083970999,Not significant
236.96786_0.4289,0.18229982526973895,0.09334598710101892,Not significant
266.96022_0.4295,0.1898800530517744,0.15836130547247645,Not significant
238.96544_0.4301,0.1375297662522526,0.23418851355481776,Not significant
332.93757_0.4378,0.13458571865550895,0.15381214861233256,Not significant
252.99613_0.4148,14.029403388659357,0.19390386251133815,Not significant
289.94845_0.447,0.04303878909613057,0.5776481976012493,Not significant
291.94585_0.4494,0.011846281203218031,0.8870285314224405,Not significant
290.94943_0.4506,0.03465192659761004,0.6528163683928181,Not significant
246.96093_0.4505,-0.06310393145394058,0.5161921458040335,Not significant
389.93706_0.4517,-0.13054686091717643,0.11138075624668613,Not significant
275.95663_0.4517,-0.08364245336931342,0.358438446053857,Not significant
114.98846_0.4518,-0.04255367308654483,0.6116685035118116,Not significant
159.97889_0.4518,-0.10299151354552888,0.2823231262039411,Not significant
247.96158_0.4676,0.21790142864063441,0.6125156022538102,Not significant
386.93871_0.4523,-0.14576039550599593,0.07516447689255948,Not significant
272.95851_0.4529,-0.07158044722405824,0.4364533095210652,Not significant
274.95588_0.4529,-0.06680176409105389,0.4377925101394816,Not significant
387.93988_0.4529,-0.152439594232877,0.06529401680312741,Not significant
388.93593_0.4529,-0.16196697436686594,0.06771433559738708,Not significant
472.92382_0.4529,-0.18376129943403993,0.10634018119637496,Not significant
501.9201_0.4534,-0.16659775687529033,0.042857990238021566,Not significant
500.9189_0.4546,-0.17931539741709465,0.052628886275295196,Not significant
502.91685_0.4546,-0.22661935058002017,0.022759841609676715,Not significant
