term_level,term,subsetcount,totalcount,foldenrichment,pval,fdr
NPC_class,Taxane diterpenoids,3,3,31.254545454545454,0.07418572741508304,0.7792786784806072
NPC_superclass,Diterpenoids,3,3,31.254545454545454,0.07418572741508304,0.6505292570258253
ClassyFire_subclass,Benzenesulfonic acids and derivatives,4,4,31.254545454545454,0.03847618581047538,0.8349418329110724
ClassyFire_most_specific,Benzenesulfonic acids and derivatives,4,4,31.254545454545454,0.03847618581047538,0.6901536091743378
ClassyFire_subclass,Triterpenoids,4,5,25.003636363636364,0.05971318133414754,0.8349418329110724
NPC_class,Isoquinoline alkaloids,4,6,20.836363636363636,0.08591294884439758,0.7792786784806072
ClassyFire_level5,Diarylethers,4,6,20.836363636363636,0.08591294884439758,0.7064198558552144
ClassyFire_most_specific,Diarylethers,4,6,20.836363636363636,0.08591294884439758,0.6901536091743378
NPC_superclass,Triterpenoids,5,9,17.363636363636363,0.08770970406269032,0.6505292570258253
ClassyFire_most_specific,Phenolic glycosides,5,9,17.363636363636363,0.08770970406269032,0.6901536091743378
ClassyFire_subclass,Ethers,9,18,15.627272727272727,0.03859457135637882,0.8349418329110724
ClassyFire_most_specific,Benzene and substituted derivatives,7,14,15.627272727272725,0.06521182113634975,0.6901536091743378
NPC_class,Glucosinolates,25,56,13.952922077922077,0.002595541238197881,0.2050477578176326
NPC_superclass,Amino acid glycosides,30,68,13.788770053475936,0.0011427787558774825,0.04456837147922182
ClassyFire_most_specific,Alkylglucosinolates,20,47,13.299806576402322,0.010240845863559656,0.6901536091743378
NPC_superclass,Tryptophan alkaloids,12,29,12.932915360501568,0.04884838114363976,0.6350289548673169
ClassyFire_level5,Glycosyl compounds,10,26,12.020979020979022,0.09354692199201109,0.7064198558552144
NPC_superclass,Oligopeptides,23,66,10.891735537190081,0.03520110655285002,0.6350289548673169
ClassyFire_level5,Monosaccharides,26,85,9.560213903743316,0.07775878345415262,0.7064198558552144
ClassyFire_superclass,Organic oxygen compounds,48,163,9.203792526491913,0.034241995311721396,0.44514593905237815
ClassyFire_class,Organooxygen compounds,48,163,9.203792526491913,0.034241995311721396,0.8828150769749725
